Sleep_Stage,MeanP_Delta_F4,MedianF_Delta_F4,MeanF_Delta_F4,Spectral Edge_Delta_F4,PeakF_Delta_F4
NREM,0.012,0.99902,5.49463,2.37268,0.99902
NREM,0.01194,0.99902,4.62049,1.99805,1.1239
NREM,0.00868,0.87415,5.49463,2.49756,0.87415
NREM,0.01859,0.87415,4.74537,1.87317,0.74927
NREM,0.01467,0.99902,5.24488,1.99805,0.74927
NREM,0.0268,0.99902,4.37073,1.62341,1.1239
NREM,0.01967,0.87415,4.99512,1.99805,0.87415
NREM,0.01469,0.99902,4.99512,2.49756,0.74927
NREM,0.01099,0.99902,5.12,2.49756,0.87415
NREM,0.01052,0.99902,5.49463,2.37268,1.1239
NREM,0.01722,0.99902,5.36976,2.2478,0.99902
NREM,0.0151,0.99902,5.24488,2.12293,0.62439
NREM,0.0119,0.87415,5.12,2.12293,0.87415
NREM,0.01419,0.99902,5.61951,2.37268,0.99902
NREM,0.00973,0.99902,5.49463,2.62244,0.62439
NREM,0.01222,0.87415,5.24488,2.12293,0.74927
NREM,0.00477,1.1239,5.61951,2.74732,1.1239
NREM,0.01184,0.99902,5.36976,2.49756,0.74927
NREM,0.0085,0.99902,5.74439,2.49756,0.99902
NREM,0.01753,0.99902,4.87024,2.12293,0.62439
NREM,0.02404,0.74927,4.12098,1.74829,0.74927
NREM,0.01817,0.99902,4.99512,1.99805,0.74927
NREM,0.02283,0.87415,4.74537,1.49854,0.99902
NREM,0.01193,0.87415,5.24488,2.12293,0.74927
NREM,0.00643,0.87415,5.99415,2.2478,0.62439
NREM,0.014,0.74927,5.86927,2.12293,0.62439
NREM,0.00976,1.1239,5.86927,2.12293,0.99902
NREM,0.02007,0.74927,5.61951,2.12293,0.74927
NREM,0.0058,1.1239,6.36878,2.99707,1.1239
NREM,0.00911,0.87415,6.2439,2.37268,0.62439
NREM,0.01426,0.99902,5.74439,2.49756,1.1239
NREM,0.01691,1.1239,5.49463,2.37268,0.99902
NREM,0.00623,0.87415,6.99317,3.12195,0.74927
NREM,0.00888,1.24878,6.11902,2.99707,1.24878
NREM,0.01328,1.1239,5.12,2.37268,1.24878
NREM,0.00623,0.74927,6.36878,2.2478,0.62439
NREM,0.01047,0.99902,5.99415,2.62244,1.1239
NREM,0.01712,1.1239,5.99415,2.49756,0.99902
NREM,0.0145,0.87415,5.61951,2.62244,0.99902
NREM,0.01927,0.87415,5.12,2.12293,0.87415
NREM,0.00757,0.87415,6.49366,2.62244,0.74927
NREM,0.01779,1.1239,5.36976,2.37268,1.24878
NREM,0.01026,1.1239,5.49463,2.2478,1.24878
NREM,0.01227,0.99902,5.74439,1.99805,1.1239
NREM,0.00853,1.1239,6.11902,2.99707,1.24878
NREM,0.01432,0.99902,5.86927,2.62244,0.99902
NREM,0.0213,0.49951,5.86927,1.49854,0.37463
NREM,0.00215,1.1239,7.86732,4.87024,0.99902
NREM,0.00678,1.1239,6.74341,3.62146,1.24878
NREM,0.01104,1.49854,6.2439,2.8722,1.74829
NREM,0.02149,0.99902,4.99512,2.2478,1.1239
NREM,0.01572,1.1239,4.99512,2.2478,1.37366
NREM,0.00645,1.1239,6.74341,3.49659,1.1239
NREM,0.01176,1.1239,5.74439,2.8722,1.24878
NREM,0.01605,0.99902,5.86927,2.49756,0.99902
NREM,0.00428,1.37366,6.74341,3.87122,0.87415
NREM,0.02162,0.87415,5.24488,1.99805,0.74927
NREM,0.00417,1.37366,6.2439,3.37171,0.99902
REM,0.00333,1.24878,6.36878,3.49659,0.74927
REM,0.00216,1.62341,6.49366,3.74634,0.87415
NREM,0.00515,0.99902,5.99415,2.37268,0.87415
REM,0.00173,1.74829,6.49366,3.87122,0.99902
REM,0.0016,1.24878,6.99317,4.49561,0.49951
NREM,0.00451,0.87415,6.99317,2.99707,0.37463
NREM,0.00696,1.49854,6.11902,3.49659,1.1239
NREM,0.0112,0.87415,5.99415,2.2478,0.74927
NREM,0.01254,1.24878,5.49463,2.49756,0.99902
NREM,0.00304,1.1239,6.99317,3.9961,0.99902
NREM,0.01148,0.99902,5.74439,2.74732,0.87415
NREM,0.00383,0.87415,6.99317,3.37171,0.99902
NREM,0.00272,1.49854,6.74341,3.87122,1.37366
NREM,0.00848,0.99902,5.86927,2.62244,0.87415
NREM,0.00949,0.99902,5.61951,2.49756,0.99902
NREM,0.00352,1.24878,6.74341,4.37073,0.74927
NREM,0.0097,0.87415,5.49463,2.37268,0.87415
NREM,0.00884,0.87415,5.74439,2.12293,0.49951
NREM,0.00351,0.99902,7.3678,3.9961,0.87415
NREM,0.01806,1.1239,5.12,2.49756,1.24878
NREM,0.01145,1.24878,5.86927,2.74732,1.1239
NREM,0.00431,1.24878,6.74341,4.12098,0.74927
REM,0.00252,1.49854,6.49366,3.74634,0.87415
REM,0.00323,0.99902,6.2439,3.49659,0.74927
REM,0.00279,1.24878,6.49366,3.87122,0.99902
REM,0.00956,1.1239,5.24488,2.49756,1.1239
REM,0.00224,1.74829,6.61854,3.9961,0.49951
REM,0.00161,1.62341,6.74341,4.37073,1.1239
REM,0.00196,1.24878,6.49366,4.12098,0.74927
REM,0.00219,1.24878,6.49366,3.9961,1.1239
NREM,0.00643,0.99902,6.2439,3.24683,0.87415
NREM,0.00522,1.24878,6.2439,3.37171,1.1239
NREM,0.01046,0.87415,6.11902,2.37268,0.99902
REM,0.00334,1.37366,5.86927,3.87122,0.87415
REM,0.00165,1.49854,6.61854,4.74537,0.62439
REM,0.00293,1.1239,5.99415,4.74537,0.62439
REM,0.003,0.99902,5.99415,3.62146,0.49951
REM,0.00302,0.99902,5.86927,2.99707,0.49951
REM,0.00174,1.24878,6.2439,3.87122,1.1239
REM,0.00173,1.37366,6.74341,4.74537,0.74927
NREM,0.01596,1.1239,5.49463,2.62244,1.24878
NREM,0.00256,1.1239,6.74341,4.24585,0.99902
NREM,0.00316,1.37366,6.49366,4.62049,1.37366
NREM,0.00771,1.1239,5.36976,2.49756,1.24878
NREM,0.00525,0.99902,6.36878,2.8722,0.49951
NREM,0.00631,1.1239,6.2439,2.8722,0.87415
NREM,0.00479,1.1239,6.36878,3.24683,1.1239
NREM,0.00549,0.99902,6.11902,3.12195,0.99902
REM,0.00179,1.74829,6.2439,4.49561,0.87415
REM,0.00236,1.37366,6.2439,3.74634,0.87415
REM,0.00165,1.74829,6.86829,4.37073,0.99902
REM,0.002,1.37366,5.74439,3.37171,0.62439
REM,0.0025,1.24878,6.11902,3.12195,0.99902
REM,0.00156,1.74829,6.49366,4.12098,0.49951
REM,0.00192,1.37366,7.11805,4.24585,0.37463
REM,0.00348,0.99902,6.49366,3.12195,0.99902
REM,0.00262,0.87415,6.11902,3.62146,0.74927
REM,0.00194,1.37366,6.99317,4.74537,0.99902
NREM,0.02289,0.74927,5.12,1.87317,0.74927
NREM,0.00923,1.24878,5.49463,2.49756,1.1239
NREM,0.01094,1.1239,5.99415,2.62244,1.1239
NREM,0.02294,1.24878,5.49463,2.2478,1.24878
NREM,0.01487,1.24878,5.36976,2.62244,1.24878
NREM,0.00876,0.74927,6.61854,1.99805,0.74927
NREM,0.01501,0.99902,5.36976,2.37268,0.62439
NREM,0.00521,0.87415,6.61854,2.99707,0.87415
NREM,0.00328,1.1239,6.36878,2.8722,0.99902
NREM,0.0048,0.87415,6.36878,2.74732,0.49951
NREM,0.00626,0.74927,6.11902,2.12293,0.74927
NREM,0.01532,0.74927,4.87024,1.74829,0.62439
NREM,0.00323,1.1239,6.36878,3.37171,0.87415
NREM,0.00723,0.99902,5.49463,2.62244,0.74927
NREM,0.00788,0.87415,5.61951,2.74732,0.74927
NREM,0.00688,0.74927,5.86927,2.12293,0.62439
NREM,0.00638,1.1239,5.61951,2.8722,0.99902
NREM,0.00593,0.87415,5.74439,2.8722,0.74927
NREM,0.0082,0.87415,5.49463,2.37268,0.87415
NREM,0.00633,0.87415,5.74439,2.8722,0.87415
NREM,0.00809,0.74927,5.49463,2.37268,0.62439
NREM,0.01767,0.99902,4.62049,2.2478,1.1239
NREM,0.01043,0.74927,5.12,2.12293,0.62439
NREM,0.01132,0.99902,5.12,2.37268,1.1239
NREM,0.01403,0.74927,4.99512,1.99805,0.74927
NREM,0.00661,0.87415,5.74439,2.2478,0.62439
NREM,0.01152,0.99902,5.36976,2.12293,0.74927
NREM,0.01262,0.87415,4.87024,2.2478,0.87415
NREM,0.01211,0.87415,5.24488,2.37268,0.74927
NREM,0.01613,0.74927,5.12,1.87317,0.87415
NREM,0.01639,0.99902,4.74537,1.74829,1.1239
NREM,0.01687,0.87415,5.12,1.74829,0.74927
NREM,0.01193,0.99902,5.36976,2.12293,0.99902
NREM,0.01263,0.99902,5.86927,2.49756,0.87415
NREM,0.01199,0.87415,5.24488,2.2478,0.99902
NREM,0.02002,0.99902,4.37073,1.87317,0.74927
NREM,0.01706,0.87415,4.62049,1.99805,0.62439
NREM,0.02569,0.87415,3.9961,1.87317,0.99902
NREM,0.00681,0.99902,5.86927,2.8722,0.87415
NREM,0.02349,0.74927,4.12098,1.74829,0.74927
NREM,0.01257,0.87415,4.99512,1.99805,0.74927
NREM,0.00683,1.1239,5.74439,2.74732,0.87415
NREM,0.01608,0.99902,4.62049,1.99805,0.99902
NREM,0.01568,0.74927,4.99512,2.12293,0.74927
NREM,0.00652,1.1239,5.74439,2.8722,0.99902
NREM,0.01289,0.87415,5.36976,2.12293,0.74927
NREM,0.0189,0.87415,4.62049,1.74829,0.74927
NREM,0.02045,0.99902,4.62049,1.99805,0.74927
NREM,0.01893,0.74927,4.74537,1.74829,0.62439
NREM,0.01723,0.74927,4.99512,2.12293,0.62439
NREM,0.01602,0.87415,4.99512,2.2478,0.62439
NREM,0.0202,0.87415,4.99512,1.99805,0.74927
NREM,0.02104,0.99902,4.49561,1.74829,1.1239
NREM,0.01855,0.87415,4.62049,1.99805,0.74927
NREM,0.01976,0.87415,4.37073,1.87317,0.87415
NREM,0.0166,0.99902,4.99512,1.99805,0.99902
NREM,0.01939,0.87415,4.74537,1.74829,0.74927
NREM,0.01273,0.87415,5.49463,2.12293,0.87415
NREM,0.01554,0.87415,5.36976,1.87317,0.99902
NREM,0.01999,0.87415,4.87024,1.87317,0.74927
NREM,0.02053,0.99902,5.49463,2.2478,0.99902
NREM,0.02823,0.87415,4.24585,1.74829,0.99902
NREM,0.01264,0.99902,5.12,2.49756,0.87415
NREM,0.01637,0.87415,5.12,1.87317,0.62439
NREM,0.02441,0.87415,4.24585,1.87317,0.87415
NREM,0.02309,0.99902,4.37073,1.99805,0.62439
NREM,0.01676,0.99902,5.36976,1.99805,0.87415
NREM,0.0152,0.99902,4.49561,1.87317,0.99902
NREM,0.02294,0.87415,4.62049,1.74829,0.62439
NREM,0.01577,0.87415,4.62049,2.2478,0.87415
NREM,0.01813,0.99902,4.74537,1.99805,0.99902
NREM,0.01593,0.87415,4.87024,1.99805,0.74927
NREM,0.01952,0.99902,4.62049,2.2478,0.87415
NREM,0.0262,0.74927,4.49561,1.74829,0.87415
NREM,0.02148,0.87415,4.49561,1.74829,0.87415
NREM,0.02941,0.87415,3.9961,1.74829,0.62439
NREM,0.01335,0.87415,4.62049,2.12293,0.99902
NREM,0.02362,0.87415,4.49561,1.99805,0.87415
NREM,0.01345,0.99902,4.99512,2.12293,0.87415
NREM,0.015,0.87415,5.36976,2.12293,0.74927
NREM,0.01441,0.74927,4.99512,1.87317,0.87415
NREM,0.01947,0.87415,4.74537,2.12293,0.87415
NREM,0.02729,0.87415,4.37073,1.49854,0.87415
NREM,0.01595,0.99902,4.87024,2.2478,0.62439
NREM,0.01328,1.1239,6.11902,2.8722,0.87415
NREM,0.01581,0.99902,5.49463,2.2478,0.74927
NREM,0.00695,1.1239,6.61854,3.49659,0.74927
NREM,0.02391,1.1239,5.24488,2.2478,1.37366
NREM,0.01389,1.1239,5.86927,2.62244,0.62439
NREM,0.02205,1.24878,5.36976,2.62244,1.37366
NREM,0.01106,1.37366,5.99415,2.8722,1.37366
NREM,0.01737,1.1239,5.61951,2.74732,1.1239
NREM,0.01322,1.24878,5.86927,2.74732,1.24878
NREM,0.02309,1.24878,5.49463,2.49756,1.37366
NREM,0.0261,1.24878,5.36976,2.62244,1.37366
NREM,0.02433,1.1239,5.36976,2.37268,1.24878
NREM,0.01245,1.1239,5.86927,2.74732,1.1239
NREM,0.02241,1.1239,5.61951,2.37268,1.37366
NREM,0.0138,0.99902,5.49463,2.62244,0.87415
NREM,0.01495,0.99902,5.74439,2.37268,0.62439
NREM,0.02545,1.1239,4.74537,1.99805,0.99902
NREM,0.02051,0.99902,4.87024,2.2478,0.74927
NREM,0.01785,0.99902,5.49463,2.49756,0.74927
NREM,0.00532,1.24878,6.61854,3.37171,1.1239
NREM,0.00896,1.1239,5.86927,3.12195,1.1239
NREM,0.00821,1.24878,5.61951,2.62244,1.1239
NREM,0.0113,1.1239,5.49463,2.8722,1.1239
NREM,0.00681,1.1239,5.99415,2.8722,0.62439
NREM,0.00916,1.1239,5.74439,2.74732,0.74927
NREM,0.00729,0.99902,5.86927,2.74732,0.74927
NREM,0.00502,1.1239,6.11902,3.12195,0.74927
NREM,0.0114,0.99902,5.74439,2.49756,0.74927
NREM,0.00756,0.99902,5.86927,2.62244,0.49951
NREM,0.01029,1.1239,5.49463,2.74732,1.24878
NREM,0.01384,0.99902,4.87024,2.2478,1.1239
NREM,0.00761,0.74927,5.99415,2.49756,0.74927
NREM,0.00795,0.87415,5.49463,2.49756,0.62439
NREM,0.01363,0.87415,5.49463,2.37268,0.74927
NREM,0.00931,1.1239,5.49463,2.8722,1.1239
NREM,0.00958,0.87415,6.11902,2.49756,0.74927
NREM,0.00845,1.1239,5.61951,2.74732,0.87415
NREM,0.00421,1.24878,6.2439,3.37171,1.37366
NREM,0.00528,0.99902,5.99415,2.99707,0.99902
NREM,0.00606,0.99902,5.86927,3.12195,0.74927
NREM,0.00518,0.87415,6.11902,2.99707,0.74927
NREM,0.01017,0.87415,5.61951,2.2478,0.87415
NREM,0.01858,0.87415,5.12,1.87317,0.74927
NREM,0.01114,0.99902,5.49463,2.8722,0.62439
NREM,0.00433,0.99902,5.99415,2.99707,0.62439
NREM,0.01206,0.87415,5.36976,2.37268,0.62439
NREM,0.00549,0.87415,6.36878,2.74732,0.87415
NREM,0.01792,0.99902,5.12,2.49756,0.99902
NREM,0.00424,1.1239,6.2439,3.37171,0.99902
NREM,0.0059,1.1239,5.86927,2.8722,0.74927
NREM,0.00924,0.99902,5.49463,2.74732,0.74927
NREM,0.00881,0.99902,5.36976,2.49756,0.99902
NREM,0.00545,0.99902,5.74439,2.62244,0.99902
NREM,0.00815,0.87415,5.74439,2.74732,0.74927
NREM,0.00743,1.1239,5.49463,2.74732,0.49951
NREM,0.00651,0.99902,6.11902,2.99707,0.62439
NREM,0.00695,0.99902,5.61951,2.49756,0.87415
NREM,0.00918,1.1239,5.74439,2.74732,0.87415
NREM,0.00667,0.99902,5.61951,2.8722,0.87415
NREM,0.01917,0.74927,4.74537,1.99805,0.62439
NREM,0.01521,0.74927,5.12,1.74829,0.74927
NREM,0.02758,0.87415,4.62049,1.87317,0.99902
NREM,0.01208,0.87415,5.12,2.2478,0.87415
NREM,0.01124,0.87415,5.86927,2.49756,0.62439
NREM,0.01076,0.99902,5.24488,2.37268,0.99902
NREM,0.00915,0.87415,5.86927,2.37268,0.62439
NREM,0.01342,0.87415,4.49561,1.87317,0.87415
NREM,0.01625,0.87415,5.36976,2.37268,0.74927
NREM,0.01132,0.99902,5.49463,2.2478,0.99902
NREM,0.00803,0.99902,5.86927,2.37268,0.62439
NREM,0.01366,0.87415,4.99512,2.2478,0.99902
NREM,0.0106,0.87415,5.49463,2.2478,0.62439
NREM,0.01469,0.87415,4.87024,2.12293,0.74927
NREM,0.01097,1.1239,5.24488,2.37268,0.62439
NREM,0.0082,0.99902,6.36878,2.8722,0.74927
NREM,0.01474,0.74927,5.36976,1.99805,0.62439
NREM,0.01622,0.74927,4.49561,1.87317,0.74927
NREM,0.02197,0.87415,4.24585,1.74829,0.99902
NREM,0.01615,0.74927,4.99512,1.74829,0.74927
NREM,0.01509,0.74927,4.87024,1.74829,0.74927
NREM,0.01715,0.74927,4.87024,1.62341,0.62439
NREM,0.01918,0.62439,4.62049,1.62341,0.62439
NREM,0.01825,0.87415,5.24488,1.62341,0.87415
NREM,0.02073,0.99902,5.12,2.2478,1.1239
NREM,0.02075,0.87415,5.36976,1.74829,0.99902
NREM,0.02396,0.99902,4.87024,1.99805,0.99902
NREM,0.01629,1.1239,5.49463,2.12293,1.1239
NREM,0.01079,0.99902,5.99415,2.74732,0.99902
NREM,0.02619,0.87415,4.99512,1.87317,0.74927
NREM,0.01836,0.99902,5.12,1.99805,1.1239
NREM,0.01921,0.99902,4.74537,1.99805,0.87415
NREM,0.01006,0.99902,5.61951,2.49756,0.74927
NREM,0.00753,1.1239,5.49463,2.8722,0.99902
NREM,0.01351,0.99902,5.49463,2.2478,0.49951
NREM,0.01633,0.87415,5.36976,2.2478,0.87415
NREM,0.01325,0.74927,5.24488,2.37268,0.62439
NREM,0.0075,1.1239,5.61951,2.74732,0.87415
NREM,0.00598,0.99902,5.61951,2.8722,0.87415
NREM,0.00352,0.99902,6.49366,3.24683,0.99902
NREM,0.01036,1.1239,5.49463,2.74732,1.1239
NREM,0.01515,0.99902,5.12,2.12293,0.87415
NREM,0.01271,1.1239,5.12,2.37268,1.1239
NREM,0.01178,0.87415,5.36976,2.12293,0.87415
NREM,0.00923,0.74927,5.61951,2.37268,0.62439
NREM,0.01115,0.87415,5.74439,2.49756,0.74927
NREM,0.00472,1.37366,5.99415,3.49659,0.74927
NREM,0.00987,0.99902,5.24488,2.37268,0.99902
NREM,0.01201,0.87415,5.61951,2.62244,0.87415
NREM,0.01064,0.99902,5.12,2.37268,0.62439
NREM,0.00949,0.87415,5.49463,2.2478,0.99902
NREM,0.0098,0.99902,5.74439,2.8722,0.99902
NREM,0.01055,0.74927,5.12,2.2478,0.74927
NREM,0.00756,0.99902,6.2439,2.74732,1.1239
NREM,0.00861,0.99902,5.61951,2.74732,0.99902
NREM,0.01713,0.87415,5.24488,2.12293,0.87415
NREM,0.01272,0.87415,4.99512,2.2478,0.87415
NREM,0.00752,0.87415,5.86927,2.37268,0.62439
NREM,0.0093,0.87415,5.86927,2.74732,0.62439
NREM,0.00834,1.1239,5.61951,2.49756,0.87415
NREM,0.01496,0.87415,5.12,2.12293,0.74927
NREM,0.01178,0.99902,5.36976,2.62244,0.74927
NREM,0.0047,0.99902,6.36878,2.99707,0.62439
NREM,0.00822,0.87415,5.49463,2.49756,0.74927
NREM,0.01154,0.87415,5.86927,2.62244,0.87415
NREM,0.00836,0.87415,5.99415,2.12293,0.74927
NREM,0.01142,0.74927,5.36976,2.2478,0.62439
NREM,0.01471,0.74927,5.49463,2.2478,0.87415
NREM,0.00985,0.87415,5.86927,2.99707,0.62439
NREM,0.02892,0.87415,3.9961,1.74829,0.99902
NREM,0.02575,0.99902,4.12098,1.74829,0.99902
NREM,0.00938,0.74927,5.99415,2.2478,0.62439
NREM,0.00721,1.1239,6.11902,2.62244,1.1239
NREM,0.00709,1.49854,6.36878,3.37171,1.87317
NREM,0.01402,0.99902,5.74439,2.2478,0.62439
NREM,0.02106,1.1239,5.24488,2.12293,1.1239
NREM,0.0123,1.24878,5.61951,2.99707,1.24878
NREM,0.02469,0.99902,5.49463,2.2478,1.1239
NREM,0.03153,1.1239,5.12,2.2478,1.1239
NREM,0.02082,0.99902,5.36976,2.62244,0.99902
NREM,0.01937,0.99902,5.49463,2.12293,1.1239
NREM,0.03459,0.99902,4.74537,1.99805,0.99902
NREM,0.01214,0.87415,6.11902,2.62244,0.74927
NREM,0.01387,0.87415,5.86927,2.49756,0.62439
NREM,0.00962,1.1239,6.11902,2.37268,1.24878
NREM,0.00998,1.1239,5.61951,2.62244,0.74927
NREM,0.01795,0.99902,5.12,2.49756,0.62439
NREM,0.00445,0.99902,6.49366,3.24683,0.74927
NREM,0.01054,0.99902,5.86927,2.49756,0.99902
REM,0.00178,1.62341,6.36878,3.9961,0.87415
REM,0.00866,0.99902,5.49463,2.37268,0.49951
REM,0.0027,1.1239,5.99415,3.37171,0.62439
REM,0.00174,1.87317,6.36878,4.24585,1.24878
REM,0.00432,0.99902,5.86927,3.24683,0.49951
REM,0.00482,0.87415,5.74439,2.99707,0.62439
REM,0.00606,0.74927,5.86927,2.62244,0.37463
NREM,0.00837,0.74927,6.11902,2.62244,0.62439
NREM,0.0183,1.1239,4.99512,2.62244,0.74927
NREM,0.01484,1.1239,5.12,2.49756,1.1239
REM,0.00166,1.62341,6.49366,4.49561,1.37366
REM,0.00322,0.87415,6.2439,3.87122,0.37463
REM,0.00289,1.1239,6.74341,4.24585,0.99902
REM,0.00289,1.49854,6.61854,3.87122,1.62341
REM,0.00303,1.49854,5.99415,3.9961,0.49951
REM,0.00241,1.24878,6.61854,4.24585,0.74927
REM,0.00316,1.49854,6.86829,4.37073,0.49951
REM,0.00185,1.49854,6.74341,4.49561,0.62439
REM,0.00146,1.74829,6.74341,4.24585,0.99902
REM,0.00262,1.49854,6.86829,4.74537,0.62439
REM,0.0082,0.74927,5.86927,1.99805,0.62439
NREM,0.00463,0.87415,7.3678,4.24585,0.49951
NREM,0.00632,0.87415,7.11805,2.8722,0.49951
NREM,0.01137,1.24878,6.11902,2.49756,1.37366
NREM,0.02136,1.24878,4.99512,2.62244,1.24878
NREM,0.01161,0.99902,5.74439,2.12293,1.1239
NREM,0.00489,0.99902,6.99317,3.62146,0.87415
NREM,0.00847,1.1239,6.2439,2.74732,0.74927
NREM,0.02779,1.24878,5.24488,2.62244,1.37366
NREM,0.01993,1.24878,5.61951,3.12195,1.37366
NREM,0.02142,1.24878,5.12,2.2478,1.37366
NREM,0.01289,0.99902,5.74439,2.49756,0.62439
NREM,0.00392,1.1239,6.99317,4.12098,0.87415
NREM,0.00499,0.87415,6.49366,2.8722,0.87415
NREM,0.00875,0.99902,5.86927,2.62244,0.62439
NREM,0.00842,0.99902,5.99415,2.74732,0.99902
NREM,0.01333,0.99902,5.49463,2.49756,0.87415
NREM,0.00376,0.99902,6.61854,3.49659,0.87415
NREM,0.01145,0.87415,5.49463,2.49756,0.87415
NREM,0.00335,0.99902,6.61854,3.62146,0.99902
NREM,0.00585,1.1239,6.36878,3.49659,1.1239
NREM,0.00255,0.87415,6.74341,3.12195,0.62439
NREM,0.00212,1.62341,6.86829,4.12098,0.87415
REM,0.00349,0.99902,5.74439,2.8722,0.99902
REM,0.00391,0.99902,5.74439,3.12195,0.62439
REM,0.00283,0.74927,6.11902,3.12195,0.62439
REM,0.00208,1.37366,6.36878,3.74634,0.49951
REM,0.00215,1.24878,6.2439,3.87122,0.49951
REM,0.00236,1.74829,6.36878,4.62049,0.62439
REM,0.00182,1.49854,6.49366,3.9961,0.62439
REM,0.00316,0.87415,5.99415,3.37171,0.62439
REM,0.00421,0.99902,5.61951,3.12195,0.74927
REM,0.00568,0.74927,5.49463,2.99707,0.87415
NREM,0.02316,1.1239,4.99512,2.37268,1.1239
NREM,0.00635,1.1239,6.49366,2.8722,0.87415
NREM,0.00271,1.24878,7.11805,4.37073,0.62439
NREM,0.01202,0.99902,5.99415,2.37268,1.24878
NREM,0.00451,1.37366,6.74341,3.9961,0.74927
NREM,0.00393,1.37366,6.36878,3.49659,0.99902
NREM,0.01779,0.87415,5.36976,1.87317,0.87415
NREM,0.01142,0.87415,5.61951,1.87317,0.87415
NREM,0.00347,1.37366,6.49366,3.62146,0.74927
REM,0.00266,0.87415,6.74341,2.8722,0.49951
REM,0.00285,0.99902,6.2439,3.74634,0.37463
REM,0.00428,0.99902,6.86829,3.12195,0.62439
REM,0.0026,1.49854,6.86829,4.62049,1.24878
REM,0.00285,1.62341,6.86829,4.24585,0.49951
REM,0.00425,1.24878,6.2439,3.62146,1.24878
REM,0.00322,1.37366,6.2439,3.87122,0.74927
REM,0.00248,1.37366,6.99317,3.87122,0.62439
REM,0.00192,1.74829,6.2439,3.9961,0.87415
REM,0.00174,1.87317,7.24293,4.87024,0.62439
REM,0.0025,1.37366,5.61951,3.9961,0.74927
REM,0.0021,1.24878,5.99415,3.74634,0.99902
REM,0.00162,1.74829,6.49366,4.24585,0.87415
REM,0.00209,0.87415,6.86829,3.9961,0.74927
REM,0.00479,1.1239,6.2439,3.24683,1.1239
REM,0.00314,1.1239,6.49366,3.62146,0.62439
REM,0.00192,0.99902,6.11902,3.74634,0.37463
REM,0.00371,1.49854,5.99415,3.49659,0.49951
NREM,0.00713,1.1239,6.36878,2.74732,1.1239
NREM,0.0229,0.99902,5.74439,2.2478,1.1239
NREM,0.00339,0.99902,7.11805,3.49659,0.99902
NREM,0.00687,1.1239,6.2439,2.62244,1.24878
NREM,0.01147,0.99902,5.49463,2.37268,0.99902
NREM,0.00477,1.1239,6.36878,3.24683,0.62439
NREM,0.00419,1.1239,6.36878,3.12195,0.74927
NREM,0.00264,0.99902,6.99317,3.37171,0.87415
NREM,0.00291,1.24878,7.11805,4.24585,0.74927
NREM,0.00405,1.1239,6.49366,3.24683,0.99902
NREM,0.0088,1.1239,5.74439,2.8722,1.24878
NREM,0.00969,0.99902,5.36976,2.2478,0.99902
NREM,0.00933,0.99902,5.86927,2.74732,0.99902
NREM,0.00391,1.24878,6.61854,3.37171,0.62439
NREM,0.00551,1.1239,6.36878,2.8722,0.99902
NREM,0.01931,0.87415,5.36976,2.49756,0.87415
NREM,0.00205,0.87415,7.3678,3.74634,0.74927
NREM,0.00163,0.99902,6.86829,3.62146,0.74927
NREM,0.01267,0.74927,5.49463,2.37268,0.74927
NREM,0.00217,1.24878,6.49366,3.49659,0.87415
NREM,0.00394,0.87415,6.11902,3.12195,0.74927
NREM,0.00213,1.37366,6.49366,3.74634,0.87415
NREM,0.00536,0.99902,6.11902,2.8722,0.74927
NREM,0.00404,0.99902,5.49463,2.99707,0.87415
NREM,0.00693,0.87415,5.86927,2.37268,0.74927
NREM,0.00532,0.99902,6.74341,2.74732,1.1239
NREM,0.00564,0.87415,5.86927,2.74732,0.62439
NREM,0.01073,0.87415,4.99512,1.99805,0.74927
NREM,0.01282,0.87415,5.36976,2.37268,0.74927
NREM,0.01238,0.99902,5.49463,2.2478,0.87415
NREM,0.01159,0.87415,5.74439,2.12293,0.87415
NREM,0.01029,0.74927,6.36878,2.2478,0.62439
NREM,0.01045,0.99902,6.36878,2.2478,0.99902
NREM,0.02851,0.74927,4.49561,1.62341,0.87415
NREM,0.01925,0.87415,4.99512,1.87317,0.74927
NREM,0.02204,0.99902,4.49561,1.87317,0.99902
NREM,0.01228,0.74927,5.24488,2.2478,0.62439
NREM,0.0234,0.87415,4.12098,1.74829,0.74927
NREM,0.01455,0.87415,5.36976,2.37268,0.99902
NREM,0.01758,0.87415,4.74537,1.99805,0.87415
NREM,0.01486,0.87415,5.12,1.99805,0.99902
NREM,0.01861,0.99902,4.74537,2.12293,0.87415
NREM,0.01381,0.99902,4.99512,1.87317,0.87415
NREM,0.01762,0.87415,5.49463,1.99805,0.74927
NREM,0.01493,0.74927,5.49463,2.2478,0.62439
NREM,0.01427,0.87415,5.24488,1.99805,0.74927
NREM,0.01339,0.99902,5.24488,1.99805,1.1239
NREM,0.01893,0.87415,5.12,1.87317,0.87415
NREM,0.02427,0.87415,4.62049,1.74829,0.99902
NREM,0.01235,0.87415,5.36976,2.12293,0.74927
NREM,0.01582,0.87415,5.12,1.87317,0.87415
NREM,0.0229,0.87415,4.87024,1.87317,0.87415
NREM,0.01383,0.99902,4.87024,1.87317,1.24878
NREM,0.01609,0.99902,4.49561,1.99805,0.74927
NREM,0.01843,0.87415,4.62049,1.87317,0.87415
NREM,0.01072,0.99902,5.24488,2.62244,0.74927
