Sleep_Stage,MeanP_Alpha_O2,MedianF_Alpha_O2,MeanF_Alpha_O2,Spectral Edge_Alpha_O2,PeakF_Alpha_O2
NREM,0.00046,12.36293,19.48098,19.48098,8.49171
NREM,0.00049,12.98732,17.35805,17.23317,14.11122
NREM,0.0005,12.36293,17.73268,17.35805,13.36195
NREM,0.00043,11.61366,18.35707,18.2322,13.48683
NREM,0.00038,12.73756,20.35512,20.48,12.61268
NREM,0.00038,11.86341,20.35512,20.10537,13.61171
NREM,0.00043,12.36293,18.85659,18.73171,12.61268
NREM,0.0004,11.61366,20.35512,20.10537,13.73659
NREM,0.00754,12.4878,20.60488,20.85463,9.49073
NREM,0.00025,9.49073,17.73268,17.23317,6.74341
NREM,0.00025,11.23902,17.35805,16.85854,12.98732
NREM,0.00405,12.36293,19.73073,20.35512,11.3639
NREM,0.00018,7.9922,15.23512,14.11122,7.61756
NREM,0.00022,7.9922,14.73561,14.11122,7.24293
NREM,0.00019,8.74146,15.11024,14.86049,8.11707
NREM,0.00022,8.86634,14.86049,14.61073,7.86732
NREM,0.0002,9.24098,14.98537,14.61073,7.49268
NREM,0.0002,9.24098,14.73561,14.48585,8.11707
NREM,0.00017,8.99122,15.36,14.86049,7.61756
NREM,0.00022,8.36683,15.11024,14.61073,7.24293
NREM,0.00023,9.74049,14.73561,14.48585,14.11122
NREM,0.00021,9.36585,14.73561,14.48585,7.9922
NREM,0.00015,8.99122,15.36,14.48585,6.74341
NREM,0.0002,8.49171,15.23512,14.86049,6.74341
NREM,0.0002,8.99122,15.11024,14.73561,6.99317
NREM,0.00017,8.49171,15.60976,14.61073,7.74244
NREM,0.00017,9.61561,16.4839,15.60976,10.11512
NREM,0.00019,9.1161,15.36,14.86049,7.9922
NREM,0.00024,9.61561,14.48585,14.11122,7.49268
NREM,0.00014,8.74146,15.85951,15.11024,7.86732
NREM,0.00018,9.1161,15.73463,15.11024,5.74439
NREM,0.00022,10.11512,14.73561,14.48585,11.98829
NREM,0.00018,8.86634,15.23512,14.61073,5.49463
NREM,0.00017,9.36585,16.10927,15.36,7.86732
NREM,0.00022,9.86537,15.73463,15.23512,6.86829
NREM,0.00023,11.3639,19.23122,18.73171,11.3639
NREM,0.00026,11.73854,18.10732,17.6078,14.2361
NREM,0.00028,11.61366,20.10537,19.85561,11.86341
NREM,0.00052,12.11317,19.60585,19.85561,9.86537
NREM,0.00033,11.11415,19.3561,19.10634,8.49171
NREM,0.00091,11.86341,20.72976,21.35415,10.86439
NREM,0.00032,11.23902,17.35805,16.98341,13.98634
NREM,0.00039,11.86341,15.98439,15.23512,13.86146
NREM,0.00029,11.3639,18.48195,17.98244,13.86146
NREM,0.00021,9.86537,17.10829,16.23415,8.36683
NREM,0.00027,10.36488,15.73463,15.36,14.11122
NREM,0.00068,10.61463,19.73073,19.60585,8.74146
NREM,0.00029,11.61366,17.98244,17.6078,14.61073
NREM,0.00028,11.61366,19.3561,18.98146,11.86341
NREM,0.00041,11.86341,16.23415,15.98439,13.73659
NREM,0.00038,11.61366,16.60878,16.23415,13.86146
NREM,0.00031,11.98829,18.10732,17.85756,13.86146
NREM,0.00038,11.61366,16.4839,15.60976,13.61171
NREM,0.00039,11.73854,16.85854,16.4839,13.23707
NREM,0.00033,11.98829,17.85756,17.23317,13.48683
NREM,0.00034,10.36488,17.35805,16.4839,8.49171
NREM,0.00035,10.48976,16.73366,15.73463,13.73659
NREM,0.00037,11.61366,15.36,14.86049,12.4878
NREM,0.00027,9.49073,16.23415,15.11024,8.61659
NREM,0.00028,11.11415,15.11024,14.73561,13.98634
NREM,0.00031,9.61561,14.61073,14.11122,13.1122
NREM,0.0002,10.11512,16.23415,15.73463,7.3678
NREM,0.00032,11.48878,14.73561,14.48585,13.73659
NREM,0.00031,11.98829,14.36098,14.2361,13.48683
NREM,0.00029,10.98927,14.98537,14.61073,13.48683
NREM,0.00025,10.36488,15.11024,14.73561,14.36098
NREM,0.0004,10.73951,14.11122,13.98634,13.36195
NREM,0.00027,9.49073,14.48585,13.98634,13.48683
NREM,0.00037,10.61463,13.98634,13.73659,13.23707
NREM,0.00035,10.24,13.61171,13.36195,13.1122
NREM,0.00035,10.48976,13.61171,13.48683,13.23707
NREM,0.00032,10.24,13.73659,13.61171,13.36195
NREM,0.00027,8.74146,14.36098,13.86146,8.24195
NREM,0.00059,10.36488,19.10634,18.85659,8.74146
NREM,0.00036,10.11512,18.60683,18.48195,8.36683
NREM,0.00026,9.36585,15.11024,14.73561,8.49171
NREM,0.00029,10.11512,14.73561,14.36098,13.86146
NREM,0.00036,11.48878,14.36098,14.11122,13.48683
NREM,0.0003,9.74049,15.60976,14.86049,10.48976
NREM,0.00025,9.86537,15.48488,14.73561,9.86537
NREM,0.00028,10.98927,14.73561,14.2361,13.61171
NREM,0.00031,10.11512,14.86049,14.36098,13.73659
NREM,0.00027,9.49073,15.60976,14.48585,7.49268
NREM,0.0003,9.49073,15.11024,13.98634,13.23707
NREM,0.0003,9.61561,15.23512,14.36098,11.23902
NREM,0.00028,9.49073,16.10927,15.11024,7.11805
NREM,0.00026,10.24,15.73463,14.98537,13.86146
NREM,0.00034,9.61561,14.86049,14.2361,13.48683
NREM,0.00026,10.11512,15.48488,14.61073,13.23707
NREM,0.00034,11.61366,13.98634,13.86146,13.36195
NREM,0.00025,9.1161,15.23512,14.48585,7.86732
NREM,0.00035,10.36488,13.98634,13.86146,13.48683
NREM,0.00026,9.74049,14.86049,14.2361,13.23707
NREM,0.00027,8.11707,15.11024,14.2361,6.74341
NREM,0.00029,10.61463,14.98537,14.61073,13.98634
NREM,0.0003,9.36585,13.73659,13.48683,13.23707
NREM,0.00032,9.1161,14.48585,13.73659,13.23707
NREM,0.00059,10.98927,19.85561,19.23122,9.86537
NREM,0.00019,9.61561,16.73366,16.10927,8.36683
NREM,0.00027,11.11415,15.23512,14.86049,13.73659
NREM,0.00024,10.61463,15.60976,15.23512,13.98634
NREM,0.00036,10.61463,14.61073,14.36098,13.73659
NREM,0.0004,11.3639,14.11122,13.86146,13.36195
NREM,0.00038,10.11512,14.11122,13.86146,13.61171
NREM,0.00031,9.24098,14.11122,13.73659,13.36195
NREM,0.00025,9.61561,14.48585,13.98634,13.48683
NREM,0.00028,9.24098,14.36098,14.11122,7.3678
NREM,0.00025,8.24195,14.73561,14.11122,5.74439
NREM,0.00032,8.74146,14.86049,14.11122,7.24293
NREM,0.00021,8.49171,15.11024,14.11122,6.49366
NREM,0.00024,8.36683,14.73561,14.2361,8.36683
NREM,0.00019,9.24098,14.98537,14.61073,9.61561
NREM,0.00019,9.36585,14.98537,14.61073,8.11707
NREM,0.00032,9.99024,14.36098,14.2361,13.86146
NREM,0.00016,8.74146,15.98439,14.61073,8.74146
NREM,0.00012,9.1161,15.60976,14.86049,9.36585
NREM,0.00022,8.24195,14.86049,14.48585,7.61756
NREM,0.00019,9.49073,15.11024,14.86049,8.11707
NREM,0.00024,9.74049,14.61073,14.48585,14.11122
NREM,0.00045,11.11415,19.48098,19.10634,10.98927
NREM,0.00117,7.74244,17.23317,14.61073,8.74146
NREM,0.00017,9.1161,14.98537,14.48585,9.99024
NREM,0.00015,8.86634,15.48488,15.11024,7.49268
NREM,0.00015,8.86634,15.11024,14.73561,6.99317
NREM,0.00018,8.49171,14.86049,14.48585,8.36683
NREM,0.00016,8.36683,14.98537,14.61073,7.3678
NREM,0.00016,8.61659,15.23512,14.73561,7.49268
NREM,0.00018,8.24195,15.11024,14.86049,8.11707
NREM,0.00014,9.24098,16.10927,15.11024,9.61561
NREM,0.00019,9.1161,17.35805,16.10927,8.36683
NREM,0.00027,8.99122,16.85854,16.23415,9.1161
NREM,0.00014,8.36683,15.98439,14.98537,7.9922
NREM,0.00017,9.86537,15.48488,14.86049,11.61366
NREM,0.00053,12.61268,22.60293,23.3522,9.86537
NREM,0.00076,12.4878,22.10341,22.60293,12.36293
NREM,0.00056,12.61268,22.47805,22.97756,13.23707
NREM,0.00043,10.86439,20.10537,19.85561,7.86732
REM,0.00012,9.86537,18.48195,17.85756,9.74049
REM,0.00014,9.86537,14.98537,14.2361,10.24
REM,0.00012,9.1161,15.85951,14.86049,7.61756
REM,0.00011,9.24098,16.10927,15.11024,9.36585
REM,0.00013,9.24098,15.98439,15.23512,8.86634
REM,0.00024,9.86537,14.36098,13.73659,11.23902
REM,0.0001,8.99122,16.23415,15.36,7.24293
REM,0.00012,9.36585,15.98439,15.48488,8.86634
NREM,0.0004,10.61463,20.35512,20.35512,9.61561
REM,0.00013,9.74049,15.60976,14.61073,9.99024
REM,0.00011,8.86634,16.10927,15.36,6.2439
REM,0.00011,8.86634,15.85951,14.73561,6.36878
REM,0.00011,8.99122,16.10927,15.11024,6.74341
REM,0.0001,8.86634,16.23415,15.36,6.2439
REM,0.00011,9.61561,15.85951,15.11024,8.36683
REM,0.00011,9.24098,15.85951,14.98537,8.36683
REM,0.00057,10.11512,18.35707,18.2322,9.1161
NREM,0.00065,10.98927,19.85561,19.73073,10.36488
NREM,0.00018,9.99024,14.48585,13.86146,10.36488
REM,0.00012,9.36585,16.4839,15.23512,6.36878
REM,0.00015,9.1161,15.98439,15.11024,7.49268
REM,0.00014,9.1161,15.48488,14.73561,7.11805
REM,0.00012,8.74146,15.36,14.61073,6.99317
REM,0.00012,8.86634,15.23512,14.36098,7.86732
REM,0.00018,9.36585,16.4839,15.85951,8.24195
REM,0.00014,9.49073,15.36,14.48585,7.49268
REM,0.00013,8.86634,16.10927,14.86049,6.74341
REM,0.00012,9.1161,16.4839,15.36,7.74244
REM,0.00011,8.99122,16.23415,15.48488,6.49366
REM,0.00011,8.74146,16.10927,14.98537,7.3678
REM,0.00011,8.74146,16.4839,15.60976,7.49268
REM,0.00017,9.36585,15.73463,14.73561,8.61659
REM,0.00014,9.24098,16.73366,15.85951,8.49171
NREM,0.00014,8.86634,15.48488,14.48585,9.1161
NREM,0.00012,8.11707,16.35902,14.86049,7.61756
NREM,0.00026,10.11512,14.11122,13.48683,10.48976
NREM,0.00014,8.24195,15.85951,14.61073,7.86732
NREM,0.00014,8.61659,15.60976,14.11122,8.74146
NREM,0.00014,8.11707,14.86049,14.2361,7.49268
NREM,0.00014,8.49171,15.98439,14.61073,7.49268
NREM,0.00013,8.99122,15.73463,14.86049,8.49171
NREM,0.00014,8.74146,15.60976,14.36098,8.86634
NREM,0.00017,8.36683,15.36,14.11122,7.9922
NREM,0.0002,8.61659,14.98537,13.98634,7.74244
NREM,0.00016,8.36683,14.86049,13.86146,7.9922
NREM,0.00019,8.49171,15.11024,14.2361,9.1161
NREM,0.00018,8.74146,16.4839,15.23512,6.36878
NREM,0.00014,8.24195,15.48488,14.36098,6.11902
NREM,0.00018,8.86634,14.73561,14.2361,9.36585
NREM,0.00035,11.11415,20.10537,20.10537,9.49073
NREM,0.00036,11.73854,19.60585,19.3561,12.23805
NREM,0.00046,11.3639,18.35707,17.98244,11.3639
NREM,0.00056,12.4878,20.72976,21.47902,10.98927
NREM,0.00038,12.23805,21.10439,21.22927,13.86146
NREM,0.00036,11.73854,20.97951,21.10439,11.11415
NREM,0.00041,13.1122,20.35512,20.72976,13.61171
NREM,0.00045,12.61268,21.10439,21.72878,13.48683
NREM,0.00043,12.23805,20.85463,20.97951,12.61268
NREM,0.00492,12.23805,20.85463,21.10439,10.11512
NREM,0.00012,8.61659,16.4839,15.11024,7.86732
NREM,0.00015,8.11707,15.60976,14.73561,8.11707
NREM,0.00015,8.49171,15.23512,14.73561,6.99317
NREM,0.00013,8.49171,15.73463,15.36,6.86829
NREM,0.00017,8.49171,14.98537,13.98634,7.74244
NREM,0.00017,8.86634,15.60976,14.86049,7.86732
NREM,0.00021,8.49171,14.98537,14.61073,6.99317
NREM,0.00022,9.61561,14.86049,14.61073,14.2361
NREM,0.0002,9.49073,14.36098,14.11122,13.98634
NREM,0.0002,8.99122,15.11024,14.61073,8.74146
NREM,0.00021,9.36585,14.98537,14.73561,9.24098
NREM,0.00477,11.23902,21.10439,21.22927,10.73951
NREM,0.00018,9.49073,15.48488,14.73561,8.99122
NREM,0.00023,9.36585,15.11024,14.61073,8.61659
NREM,0.00026,11.23902,15.48488,15.23512,11.61366
NREM,0.0002,8.99122,16.10927,15.48488,6.49366
NREM,0.00017,8.36683,15.11024,14.11122,8.36683
NREM,0.0002,8.61659,15.60976,14.86049,8.61659
NREM,0.00027,8.99122,14.86049,14.61073,7.11805
NREM,0.0002,9.49073,15.23512,14.73561,10.11512
NREM,0.00023,9.74049,14.98537,14.61073,9.86537
NREM,0.00019,9.36585,15.98439,15.36,8.24195
NREM,0.00018,9.86537,15.23512,14.98537,11.98829
NREM,0.00022,9.1161,14.73561,14.2361,7.49268
NREM,0.00027,9.36585,14.73561,14.36098,9.1161
NREM,0.0002,8.99122,14.98537,14.61073,10.11512
NREM,0.00022,9.99024,14.61073,14.2361,13.86146
NREM,0.0002,8.99122,15.48488,14.36098,7.61756
NREM,0.0002,8.86634,14.98537,14.48585,7.86732
NREM,0.00019,8.74146,15.11024,14.73561,8.11707
NREM,0.0002,8.74146,15.23512,14.48585,8.36683
NREM,0.00025,9.49073,14.73561,14.48585,13.98634
NREM,0.00016,8.24195,14.61073,13.61171,9.36585
NREM,0.0002,9.49073,14.48585,13.98634,10.11512
NREM,0.00016,8.99122,15.11024,14.73561,7.86732
NREM,0.00019,8.36683,17.10829,15.48488,8.99122
NREM,0.00017,8.74146,14.73561,14.11122,9.1161
NREM,0.00016,7.86732,15.60976,14.61073,7.86732
NREM,0.00023,8.74146,14.61073,14.2361,8.11707
NREM,0.00018,8.99122,14.98537,14.36098,8.49171
NREM,0.00013,9.49073,16.4839,15.48488,8.74146
NREM,0.00173,11.73854,19.85561,19.85561,11.3639
NREM,0.00023,8.74146,15.23512,14.73561,8.74146
NREM,0.00018,8.24195,15.23512,14.61073,6.86829
NREM,0.00014,8.61659,15.36,13.98634,9.49073
NREM,0.00039,11.23902,16.73366,16.60878,10.61463
NREM,0.00019,8.61659,14.86049,14.2361,6.86829
NREM,0.00025,8.49171,14.98537,14.36098,7.86732
NREM,0.0003,9.49073,14.11122,13.98634,9.74049
NREM,0.00107,10.98927,20.10537,20.10537,9.74049
NREM,0.00014,8.36683,15.11024,13.73659,7.24293
NREM,0.00016,8.61659,15.48488,14.86049,7.11805
NREM,0.00028,9.36585,16.60878,15.98439,7.9922
NREM,0.00023,10.24,16.85854,16.23415,9.49073
NREM,0.00016,9.1161,15.98439,14.98537,4.37073
NREM,0.00023,9.74049,14.98537,14.73561,14.11122
NREM,0.00021,8.61659,14.73561,13.86146,7.3678
NREM,0.0003,9.1161,14.48585,14.2361,8.24195
NREM,0.00085,13.48683,21.85366,22.22829,13.86146
NREM,0.0002,8.36683,14.98537,14.36098,7.74244
NREM,0.00027,10.73951,14.2361,14.11122,13.61171
NREM,0.00022,9.99024,14.73561,14.36098,12.23805
NREM,0.00022,9.1161,14.86049,14.61073,5.99415
NREM,0.00026,9.36585,14.36098,13.98634,13.73659
NREM,0.00018,8.86634,15.11024,14.48585,8.49171
NREM,0.00178,12.4878,19.48098,19.3561,12.98732
NREM,0.00018,7.61756,14.61073,13.36195,7.49268
NREM,0.00019,8.24195,14.73561,13.86146,8.24195
NREM,0.00029,10.24,18.35707,16.60878,10.61463
NREM,0.00019,8.24195,14.73561,14.2361,5.36976
NREM,0.00019,8.36683,15.98439,14.98537,7.24293
NREM,0.00013,8.74146,16.10927,14.98537,8.11707
NREM,0.00018,8.11707,14.98537,14.48585,6.99317
NREM,0.00017,8.86634,16.73366,15.73463,7.49268
NREM,0.00032,9.86537,18.35707,18.10732,8.49171
NREM,0.00016,9.99024,15.73463,14.36098,10.86439
NREM,0.00015,8.49171,15.60976,14.11122,5.24488
NREM,0.00016,8.36683,14.73561,14.11122,5.36976
NREM,0.00013,8.74146,16.60878,15.11024,9.61561
NREM,0.00012,8.24195,15.60976,14.2361,7.49268
NREM,0.00014,8.24195,15.85951,14.36098,7.86732
NREM,0.00013,8.49171,14.98537,14.48585,7.24293
NREM,0.00012,8.24195,15.48488,14.61073,7.74244
NREM,0.00057,10.73951,18.85659,18.10732,10.86439
NREM,0.00013,8.99122,15.73463,14.73561,10.24
NREM,0.00014,8.36683,15.85951,14.36098,8.99122
NREM,0.00013,9.1161,16.60878,15.23512,7.9922
NREM,9.1E-05,8.36683,16.60878,15.23512,7.74244
REM,9.88E-05,8.99122,17.48293,16.73366,7.11805
REM,0.00011,8.86634,16.85854,15.98439,6.11902
REM,0.00011,8.86634,16.73366,15.48488,7.9922
NREM,0.00037,10.11512,16.73366,16.10927,10.11512
NREM,0.00019,9.86537,18.60683,18.10732,9.24098
REM,0.00012,8.74146,15.98439,15.11024,8.24195
REM,0.00012,9.49073,15.85951,15.23512,7.24293
REM,0.00012,8.99122,15.85951,14.86049,8.61659
REM,0.00013,8.74146,15.73463,14.98537,8.49171
REM,0.00012,8.99122,15.98439,15.11024,10.36488
REM,0.00013,8.99122,15.73463,14.73561,7.86732
REM,0.00011,9.1161,16.35902,15.36,7.3678
REM,0.00012,8.86634,15.85951,14.73561,7.74244
REM,0.00011,9.86537,16.10927,15.36,9.24098
REM,0.00061,11.61366,18.98146,18.98146,10.98927
REM,0.00012,9.49073,15.60976,14.73561,10.98927
REM,0.00012,9.49073,16.35902,15.73463,8.86634
REM,0.00018,10.48976,14.73561,13.73659,11.23902
REM,0.00012,9.1161,16.10927,15.11024,5.74439
REM,0.00015,9.1161,14.98537,13.98634,8.36683
REM,0.00012,9.36585,15.85951,14.98537,9.74049
REM,0.00012,9.1161,16.23415,15.11024,7.86732
REM,0.00012,9.36585,15.73463,14.98537,6.61854
REM,0.00011,9.24098,15.98439,15.11024,7.11805
REM,0.00012,8.86634,16.10927,14.98537,7.3678
REM,0.00011,8.86634,16.10927,15.11024,7.74244
REM,0.00011,9.1161,15.98439,14.98537,8.99122
REM,0.00013,8.99122,15.73463,14.98537,6.36878
REM,0.00012,9.49073,16.10927,15.23512,9.74049
REM,0.00012,9.1161,15.85951,15.23512,9.1161
REM,9.57E-05,8.99122,16.85854,15.73463,8.74146
REM,0.00011,9.1161,16.23415,15.36,7.86732
REM,0.00011,8.99122,15.48488,14.48585,8.74146
REM,0.00011,8.99122,15.73463,15.23512,7.3678
REM,0.00011,9.1161,15.85951,14.86049,9.74049
REM,0.0001,9.1161,16.85854,15.98439,9.36585
REM,0.00011,8.36683,16.35902,15.48488,6.99317
REM,0.00013,9.86537,15.85951,14.73561,10.11512
NREM,0.00024,10.61463,17.10829,16.60878,10.86439
NREM,0.00017,10.61463,16.85854,16.35902,11.3639
NREM,0.0002,9.74049,16.60878,15.98439,7.24293
NREM,0.00018,10.24,16.4839,15.36,10.36488
NREM,0.00015,10.48976,17.10829,16.10927,6.2439
NREM,0.00015,9.61561,16.60878,15.73463,7.11805
NREM,0.00017,9.61561,16.23415,15.36,6.86829
NREM,0.00023,9.99024,16.4839,15.73463,10.11512
NREM,0.00014,9.99024,16.73366,15.60976,10.48976
NREM,0.00019,9.1161,15.98439,15.11024,6.99317
NREM,0.00028,9.61561,17.6078,16.35902,8.74146
NREM,0.00024,10.11512,19.3561,18.73171,6.99317
NREM,0.00031,9.74049,16.85854,16.10927,10.11512
NREM,0.00019,10.24,18.73171,18.2322,10.48976
NREM,0.00018,10.36488,19.3561,18.98146,10.48976
NREM,0.00018,10.36488,19.3561,18.85659,10.11512
NREM,0.0003,9.74049,16.35902,15.48488,10.86439
NREM,0.00028,8.99122,15.98439,15.23512,6.86829
NREM,0.00016,10.11512,15.85951,15.36,7.11805
NREM,0.00019,9.61561,15.60976,14.36098,10.11512
NREM,0.00014,9.99024,16.85854,15.98439,6.2439
NREM,0.00017,9.36585,15.60976,14.48585,8.99122
NREM,0.00025,8.86634,14.86049,13.61171,9.86537
NREM,0.00028,8.86634,14.73561,14.11122,5.99415
NREM,0.00036,9.24098,13.73659,13.1122,9.61561
NREM,0.00023,8.24195,14.73561,13.36195,7.74244
NREM,0.00029,8.74146,14.73561,14.2361,7.3678
NREM,0.00029,8.86634,14.86049,13.98634,9.36585
NREM,0.00032,9.24098,14.61073,14.2361,6.2439
NREM,0.00028,8.74146,14.11122,13.36195,6.36878
NREM,0.0003,8.36683,14.48585,14.11122,6.86829
NREM,0.00029,8.86634,14.61073,13.98634,10.48976
NREM,0.00029,8.74146,14.73561,14.11122,6.74341
NREM,0.00034,7.86732,14.48585,13.48683,7.49268
NREM,0.00035,8.61659,14.2361,13.61171,6.49366
NREM,0.00025,8.61659,14.61073,14.2361,7.61756
NREM,0.00029,8.61659,13.98634,13.23707,5.74439
NREM,0.00041,8.61659,14.36098,13.98634,7.24293
NREM,0.00031,8.61659,14.2361,13.61171,6.61854
NREM,0.0003,7.9922,14.48585,13.48683,7.3678
NREM,0.00034,8.49171,13.98634,13.36195,10.11512
NREM,0.00027,8.36683,14.36098,13.48683,7.24293
NREM,0.00051,9.74049,16.35902,15.36,9.49073
NREM,0.00024,9.1161,14.48585,13.36195,11.23902
NREM,0.00034,8.99122,14.48585,13.48683,10.11512
NREM,0.0002,9.61561,15.11024,14.2361,9.74049
NREM,0.00023,10.11512,15.36,14.61073,11.48878
NREM,0.00028,8.99122,14.73561,13.86146,7.9922
NREM,0.00034,8.61659,14.48585,13.73659,7.61756
NREM,0.00031,9.86537,18.35707,17.73268,9.99024
NREM,0.00034,10.61463,19.48098,18.98146,9.86537
NREM,0.00034,10.86439,19.60585,19.3561,6.61854
NREM,0.00036,10.48976,19.48098,19.10634,6.86829
NREM,0.00032,10.24,18.2322,17.73268,6.74341
NREM,0.00035,9.74049,17.35805,15.98439,7.24293
NREM,0.00034,11.3639,19.60585,19.48098,7.61756
NREM,0.00014,9.99024,18.98146,18.60683,9.86537
NREM,0.00016,9.74049,17.48293,16.98341,9.86537
NREM,0.00018,9.99024,17.10829,16.4839,9.74049
NREM,0.00014,9.49073,18.35707,17.6078,9.61561
NREM,0.00017,9.36585,17.10829,15.98439,9.36585
NREM,0.00015,9.99024,17.35805,16.35902,10.24
NREM,0.00014,9.36585,17.23317,16.4839,9.36585
NREM,0.00015,9.36585,17.23317,16.23415,9.49073
NREM,0.00017,9.86537,17.23317,16.35902,7.3678
NREM,0.00015,9.36585,17.6078,16.60878,7.3678
NREM,0.00024,8.99122,14.86049,13.61171,6.99317
NREM,0.00039,9.36585,17.48293,16.85854,7.86732
NREM,0.00016,10.36488,17.6078,17.10829,10.48976
NREM,0.00012,9.61561,17.48293,16.73366,8.49171
NREM,0.0003,8.86634,14.98537,13.36195,9.74049
NREM,0.00032,8.99122,14.2361,13.23707,9.99024
NREM,0.00022,9.99024,15.98439,14.86049,10.36488
NREM,0.00021,9.36585,15.48488,14.61073,9.24098
NREM,0.0003,9.49073,15.60976,15.11024,8.99122
NREM,0.00025,8.99122,14.73561,13.98634,9.86537
NREM,0.0003,8.61659,14.73561,13.98634,5.74439
NREM,0.00033,8.99122,14.48585,14.11122,8.99122
NREM,0.00035,8.61659,14.36098,13.98634,8.74146
NREM,0.0003,8.61659,14.61073,14.11122,6.86829
NREM,0.00031,7.86732,14.48585,13.48683,5.99415
NREM,0.00033,8.74146,14.2361,13.86146,5.86927
NREM,0.00034,8.74146,14.36098,13.73659,8.61659
NREM,0.00031,8.61659,14.61073,13.98634,8.99122
NREM,0.00031,8.24195,14.2361,13.73659,5.74439
NREM,0.00031,8.11707,14.2361,13.48683,8.74146
NREM,0.00031,7.9922,14.2361,13.23707,6.86829
NREM,0.0003,8.36683,13.98634,13.48683,7.86732
NREM,0.00032,7.74244,14.2361,13.36195,7.49268
NREM,0.00033,7.61756,14.11122,13.48683,6.74341
NREM,0.0003,8.49171,14.2361,13.61171,8.74146
NREM,0.00029,7.86732,14.2361,13.48683,6.74341
NREM,0.00028,7.74244,14.48585,13.23707,6.36878
NREM,0.00032,7.24293,13.61171,12.23805,6.36878
NREM,0.0003,7.86732,14.2361,13.61171,8.36683
NREM,0.00032,7.86732,13.86146,12.98732,6.11902
NREM,0.00033,7.74244,13.98634,13.48683,7.24293
NREM,0.00029,7.9922,13.98634,13.23707,6.61854
NREM,0.0003,7.3678,13.98634,12.61268,5.74439
NREM,0.00031,7.74244,14.11122,13.1122,8.74146
NREM,0.00031,7.24293,13.86146,12.73756,5.49463
NREM,0.00035,7.61756,13.36195,12.23805,7.74244
NREM,0.00035,7.86732,13.86146,13.1122,5.99415
NREM,0.00038,7.3678,13.98634,12.73756,6.74341
NREM,0.0003,7.61756,13.98634,13.1122,6.74341
NREM,0.00035,8.11707,13.98634,13.23707,8.61659
NREM,0.00034,7.3678,13.98634,13.23707,5.86927
NREM,0.00039,7.3678,13.48683,12.36293,6.99317
NREM,0.00034,7.61756,14.2361,13.36195,7.24293
NREM,0.00032,7.24293,13.73659,12.4878,7.11805
NREM,0.00032,7.61756,13.73659,12.61268,8.86634
NREM,0.00031,7.61756,13.73659,12.36293,7.74244
NREM,0.00033,7.74244,13.98634,13.23707,7.3678
NREM,0.00031,7.74244,13.98634,13.36195,7.74244
NREM,0.00035,7.74244,13.48683,12.61268,7.61756
NREM,0.00028,7.9922,13.86146,13.23707,9.24098
NREM,0.0003,7.86732,13.86146,12.98732,6.86829
NREM,0.00031,7.61756,14.11122,13.1122,6.86829
NREM,0.00028,7.61756,14.2361,13.36195,5.86927
NREM,0.00028,7.3678,13.86146,13.1122,6.99317
NREM,0.00031,7.61756,13.61171,12.73756,7.61756
NREM,0.00027,7.24293,13.86146,12.4878,6.61854
NREM,0.00038,7.61756,13.73659,12.11317,7.61756
NREM,0.00036,7.49268,13.98634,13.1122,7.9922
NREM,0.00032,7.74244,13.86146,12.98732,7.74244
NREM,0.0003,7.3678,13.73659,12.36293,5.86927
NREM,0.00033,7.49268,13.73659,12.86244,7.49268
NREM,0.00041,7.9922,13.48683,11.73854,7.61756
NREM,0.00032,8.49171,13.98634,12.4878,9.49073
NREM,0.00032,7.61756,14.11122,13.48683,5.99415
NREM,0.00031,7.61756,14.2361,13.23707,5.99415
NREM,0.00028,7.74244,14.11122,13.1122,7.86732
NREM,0.00032,7.61756,14.11122,13.23707,5.74439
NREM,0.00029,7.61756,13.86146,13.23707,6.74341
NREM,0.00032,7.3678,14.11122,13.1122,6.61854
NREM,0.00031,7.49268,13.86146,12.36293,5.86927
NREM,0.00029,8.11707,14.36098,13.48683,7.24293
NREM,0.0003,7.11805,13.98634,12.61268,6.86829
NREM,0.00033,7.49268,13.36195,12.4878,6.86829
NREM,0.00031,7.24293,14.11122,13.1122,4.99512
NREM,0.00032,7.49268,13.73659,12.4878,7.49268
NREM,0.00029,7.24293,13.86146,12.98732,7.11805
NREM,0.00027,7.9922,13.98634,13.1122,8.24195
NREM,0.00029,7.74244,13.73659,12.61268,5.74439
NREM,0.0003,7.9922,13.98634,12.98732,8.74146
NREM,0.00041,7.86732,13.36195,12.23805,7.61756
NREM,0.00028,8.99122,13.98634,12.73756,9.86537
NREM,0.00028,8.49171,14.48585,13.73659,8.36683
NREM,0.0004,8.74146,13.86146,13.23707,8.49171
NREM,0.00029,8.99122,14.36098,13.23707,10.24
NREM,0.00036,8.49171,14.2361,13.61171,6.99317
NREM,0.00263,12.73756,27.34829,30.96976,10.36488
NREM,0.00018,9.74049,16.85854,16.10927,9.24098
NREM,0.00019,9.36585,16.60878,15.73463,7.74244
NREM,0.00018,8.99122,16.4839,15.36,8.99122
NREM,0.0002,9.74049,16.85854,15.85951,6.61854
NREM,0.00019,8.74146,16.35902,15.36,6.36878
NREM,0.00033,9.49073,15.36,13.98634,10.24
NREM,0.00019,9.36585,16.23415,15.36,6.61854
NREM,0.00017,9.74049,16.4839,15.60976,7.86732
NREM,0.00019,9.1161,15.23512,14.48585,7.86732
