Sleep_Stage,MeanP_Delta_C4,MedianF_Delta_C4,MeanF_Delta_C4,Spectral Edge_Delta_C4,PeakF_Delta_C4
NREM,0.00173,1.24878,5.99415,2.99707,0.74927
REM,0.00451,0.87415,6.36878,2.49756,0.87415
REM,0.01109,0.62439,4.74537,1.62341,0.37463
NREM,0.00944,0.62439,5.12,1.24878,0.62439
NREM,0.00555,0.62439,4.99512,1.74829,0.62439
NREM,0.00587,0.87415,5.36976,1.62341,0.62439
NREM,0.00455,0.74927,6.49366,2.2478,0.37463
NREM,0.00307,0.74927,5.86927,1.99805,0.62439
NREM,0.001,1.49854,6.74341,3.87122,0.62439
NREM,0.00117,0.74927,6.2439,3.12195,0.49951
NREM,0.00135,0.87415,7.86732,2.99707,0.62439
NREM,0.00068,1.24878,8.11707,3.49659,0.74927
NREM,0.0011,1.1239,7.86732,3.62146,0.74927
NREM,0.00081,1.62341,6.61854,3.62146,0.74927
NREM,0.00191,0.74927,6.99317,2.74732,0.74927
NREM,0.00219,0.99902,6.36878,3.12195,0.74927
NREM,0.00081,0.74927,8.11707,3.37171,0.74927
NREM,0.0026,0.62439,7.49268,2.12293,0.62439
NREM,0.00073,0.87415,8.74146,3.62146,0.74927
NREM,0.00072,1.24878,7.61756,3.62146,0.74927
NREM,0.00087,1.24878,7.49268,3.87122,0.62439
NREM,0.00076,1.37366,7.24293,3.74634,0.37463
NREM,0.00083,1.24878,8.36683,4.37073,0.74927
NREM,0.0008,1.1239,8.36683,4.12098,0.37463
NREM,0.00097,0.74927,7.9922,3.62146,0.62439
NREM,0.00073,0.87415,8.49171,4.12098,0.74927
NREM,0.00061,0.87415,8.61659,3.9961,0.74927
NREM,0.00063,1.1239,8.61659,4.87024,0.62439
NREM,0.00075,1.1239,8.24195,4.12098,0.62439
NREM,0.00074,1.24878,7.11805,3.49659,0.62439
NREM,0.00075,1.37366,7.3678,3.62146,0.62439
NREM,0.00068,1.1239,7.9922,3.9961,0.74927
NREM,0.00095,1.37366,6.99317,3.87122,0.62439
NREM,0.00097,1.62341,7.86732,3.87122,2.12293
NREM,0.00326,0.99902,6.2439,2.8722,0.49951
NREM,0.00075,1.24878,8.36683,4.62049,0.74927
NREM,0.00243,1.1239,6.36878,2.99707,0.62439
NREM,0.00127,1.87317,6.74341,3.62146,0.74927
NREM,0.00112,1.62341,5.99415,3.62146,0.62439
NREM,0.0011,1.1239,8.11707,3.74634,0.62439
NREM,0.0013,0.99902,6.86829,3.62146,0.37463
NREM,0.00139,1.49854,6.74341,3.49659,0.62439
NREM,0.00103,1.49854,6.99317,3.74634,0.62439
NREM,0.0005,1.37366,8.36683,4.87024,0.74927
NREM,0.0013,0.87415,6.74341,3.24683,0.74927
NREM,0.00289,0.87415,6.11902,2.74732,0.74927
NREM,0.0009,1.24878,6.86829,3.74634,0.62439
NREM,0.00134,1.62341,6.86829,3.49659,0.49951
NREM,0.00178,1.24878,6.36878,3.49659,0.74927
NREM,0.00132,0.87415,7.11805,3.24683,0.49951
NREM,0.0026,1.24878,5.99415,3.49659,0.99902
NREM,0.00107,1.49854,6.99317,3.87122,0.49951
NREM,0.00158,1.24878,7.24293,3.62146,0.99902
NREM,0.00215,1.62341,5.74439,3.49659,1.24878
NREM,0.00147,0.99902,6.86829,3.49659,0.62439
NREM,0.00154,1.37366,6.61854,3.49659,0.37463
NREM,0.00195,1.49854,5.99415,3.49659,0.87415
NREM,0.00195,0.99902,6.61854,3.12195,0.74927
NREM,0.00277,1.24878,5.61951,2.99707,0.62439
NREM,0.00187,0.62439,7.61756,2.8722,0.37463
NREM,0.00224,1.24878,5.61951,3.49659,1.1239
NREM,0.00181,1.1239,7.11805,3.62146,0.87415
NREM,0.00559,0.99902,5.12,2.8722,1.1239
NREM,0.00278,0.87415,6.11902,2.99707,0.62439
NREM,0.00364,0.99902,6.86829,3.24683,0.74927
NREM,0.00236,1.37366,6.11902,3.37171,0.62439
NREM,0.00167,0.87415,6.86829,3.12195,0.49951
NREM,0.00351,0.99902,5.49463,3.12195,0.74927
NREM,0.0032,0.74927,5.61951,2.99707,0.62439
NREM,0.00276,0.99902,5.86927,3.37171,0.74927
NREM,0.00339,1.1239,5.74439,3.24683,0.62439
NREM,0.00339,0.99902,5.49463,2.8722,0.62439
NREM,0.00359,1.37366,5.36976,3.37171,0.62439
NREM,0.0016,1.24878,6.36878,3.62146,0.87415
NREM,0.00421,0.87415,5.24488,2.74732,0.62439
NREM,0.00326,1.49854,5.24488,3.24683,0.74927
NREM,0.00303,0.87415,5.99415,2.74732,0.62439
NREM,0.00417,1.24878,5.36976,3.24683,1.1239
NREM,0.00222,1.1239,5.74439,3.12195,0.74927
NREM,0.00397,0.74927,5.49463,2.8722,0.62439
NREM,0.00383,0.87415,5.49463,3.12195,0.49951
NREM,0.00299,0.87415,5.86927,3.12195,0.62439
NREM,0.00259,0.99902,6.74341,3.24683,0.87415
NREM,0.00243,1.1239,6.11902,2.99707,0.49951
NREM,0.00299,0.87415,6.11902,3.37171,0.62439
NREM,0.00261,1.37366,5.86927,3.24683,0.99902
NREM,0.00182,1.24878,6.11902,3.74634,1.1239
NREM,0.00304,1.1239,5.99415,3.24683,0.99902
NREM,0.00475,0.99902,4.99512,2.99707,0.49951
NREM,0.00326,0.99902,5.49463,2.99707,0.74927
NREM,0.00278,1.1239,6.49366,3.12195,0.62439
NREM,0.00196,1.62341,6.11902,3.62146,1.62341
NREM,0.00214,1.1239,6.2439,3.12195,0.62439
NREM,0.00263,0.87415,6.11902,3.37171,0.62439
NREM,0.00223,1.1239,7.11805,3.49659,0.49951
NREM,0.00755,0.74927,5.36976,1.37366,0.74927
NREM,0.0023,1.24878,5.86927,2.99707,0.87415
NREM,0.00322,0.74927,6.49366,3.24683,0.62439
NREM,0.00372,1.1239,5.49463,3.12195,0.99902
NREM,0.00202,1.24878,5.86927,3.37171,0.99902
NREM,0.00282,0.87415,6.61854,3.62146,0.62439
REM,0.00138,1.99805,6.2439,3.87122,2.37268
REM,0.00139,1.24878,6.11902,2.99707,0.37463
REM,0.00132,0.74927,6.2439,2.8722,0.37463
REM,0.00169,0.74927,5.36976,2.8722,0.37463
NREM,0.00311,0.49951,7.24293,2.12293,0.37463
REM,0.0013,0.99902,6.99317,3.49659,0.24976
REM,0.00135,0.87415,6.36878,3.37171,0.62439
NREM,0.00296,0.62439,6.49366,1.74829,0.37463
NREM,0.00103,0.62439,7.86732,3.49659,0.24976
NREM,0.00119,0.62439,6.49366,3.24683,0.49951
REM,0.00188,0.62439,5.74439,2.74732,0.37463
NREM,0.00237,0.49951,6.74341,1.74829,0.37463
NREM,0.00096,0.74927,6.99317,3.24683,0.62439
REM,0.0016,0.99902,6.2439,3.24683,0.37463
NREM,0.00116,1.24878,6.86829,3.49659,0.37463
NREM,0.00085,1.1239,7.11805,3.87122,0.62439
NREM,0.00084,1.24878,7.74244,4.24585,0.74927
NREM,0.00235,0.99902,7.49268,3.12195,0.37463
NREM,0.00831,0.49951,4.87024,1.37366,0.62439
NREM,0.00258,0.74927,5.86927,3.37171,0.37463
NREM,0.00514,0.49951,4.99512,2.74732,0.37463
NREM,0.00675,0.62439,4.87024,3.12195,0.37463
NREM,0.00335,0.74927,5.49463,2.8722,0.37463
NREM,0.00356,0.37463,5.36976,2.8722,0.37463
NREM,0.0035,0.62439,5.61951,2.49756,0.37463
NREM,0.00331,0.49951,5.61951,2.99707,0.24976
NREM,0.00309,0.37463,5.86927,2.2478,0.24976
NREM,0.00319,0.37463,5.74439,2.49756,0.37463
NREM,0.00253,0.49951,6.49366,3.12195,0.37463
NREM,0.00082,1.24878,8.11707,3.74634,1.1239
NREM,0.00107,1.87317,6.49366,3.87122,0.87415
NREM,0.00174,0.99902,5.99415,3.37171,0.49951
NREM,0.00118,1.62341,6.11902,3.87122,0.37463
NREM,0.00085,1.62341,7.86732,3.9961,0.99902
NREM,0.00109,1.49854,7.3678,3.62146,0.49951
NREM,0.00082,1.49854,6.74341,3.9961,0.62439
NREM,0.00076,1.74829,6.49366,4.12098,0.62439
NREM,0.00125,1.62341,5.99415,3.87122,0.62439
NREM,0.00063,1.74829,8.24195,4.37073,0.62439
NREM,0.00095,1.87317,6.61854,3.74634,0.74927
NREM,0.00121,1.62341,5.86927,3.87122,1.1239
NREM,0.0009,1.37366,6.61854,3.62146,0.74927
NREM,0.00118,1.49854,6.36878,3.49659,0.37463
NREM,0.00107,1.62341,6.61854,3.74634,0.62439
NREM,0.0013,1.74829,6.2439,3.87122,0.74927
NREM,0.00142,1.74829,5.86927,3.74634,1.49854
NREM,0.02764,1.1239,3.9961,2.2478,1.1239
NREM,0.0012,0.74927,7.11805,3.12195,0.49951
NREM,0.00138,1.74829,5.74439,3.87122,0.87415
NREM,0.00157,2.12293,5.74439,4.12098,2.2478
NREM,0.0017,1.87317,5.74439,3.74634,1.1239
NREM,0.00976,0.49951,4.62049,1.24878,0.37463
NREM,0.00527,0.49951,5.36976,1.49854,0.37463
NREM,0.00093,1.62341,7.49268,3.74634,0.62439
NREM,0.00155,0.74927,6.36878,3.49659,0.37463
NREM,0.00279,0.87415,5.74439,2.99707,0.37463
NREM,0.00299,0.49951,5.86927,2.8722,0.37463
NREM,0.00362,0.62439,5.36976,2.8722,0.37463
NREM,0.00294,0.62439,5.61951,2.8722,0.37463
NREM,0.00388,1.1239,5.36976,3.24683,0.37463
NREM,0.00378,0.87415,5.12,2.8722,0.37463
NREM,0.00363,0.87415,5.24488,2.74732,0.37463
NREM,0.00721,0.37463,4.87024,1.24878,0.24976
NREM,0.00967,0.49951,4.49561,1.49854,0.37463
NREM,0.0093,0.49951,5.12,2.49756,0.37463
NREM,0.0155,0.62439,4.74537,2.12293,0.37463
NREM,0.01843,0.62439,4.37073,1.74829,0.37463
NREM,0.02079,0.62439,4.74537,1.49854,0.62439
NREM,0.01756,0.62439,4.62049,2.2478,0.37463
NREM,0.01333,0.62439,4.74537,2.12293,0.37463
NREM,0.01932,0.62439,4.74537,2.12293,0.37463
NREM,0.02071,0.49951,4.74537,1.87317,0.37463
NREM,0.0365,0.49951,4.24585,1.62341,0.62439
NREM,0.05348,0.37463,3.74634,0.87415,0.37463
NREM,0.01645,0.74927,4.87024,2.37268,0.37463
NREM,0.0288,0.62439,4.49561,1.74829,0.37463
NREM,0.02146,0.37463,4.74537,1.37366,0.37463
NREM,0.02603,0.49951,4.74537,2.12293,0.37463
NREM,0.01824,0.37463,4.87024,1.87317,0.37463
NREM,0.02286,0.49951,4.87024,2.37268,0.37463
NREM,0.01411,0.37463,5.12,1.87317,0.37463
NREM,0.01685,0.49951,4.74537,2.49756,0.37463
NREM,0.01175,0.62439,4.99512,2.8722,0.37463
NREM,0.01655,0.74927,5.12,3.12195,0.37463
NREM,0.02233,0.62439,4.62049,2.2478,0.37463
NREM,0.01895,0.49951,5.12,1.99805,0.37463
NREM,0.01717,0.87415,4.87024,2.37268,0.37463
NREM,0.01754,0.49951,5.24488,2.12293,0.37463
NREM,0.02192,0.62439,4.74537,2.74732,0.37463
NREM,0.02046,0.62439,4.74537,2.37268,0.37463
NREM,0.02257,0.49951,4.37073,1.87317,0.37463
NREM,0.02269,0.49951,4.87024,1.87317,0.37463
NREM,0.01369,0.74927,4.99512,2.49756,0.37463
NREM,0.01637,0.74927,5.24488,2.8722,0.37463
NREM,0.013,0.74927,4.99512,2.8722,0.37463
NREM,0.01652,0.62439,4.87024,2.62244,0.37463
NREM,0.01736,0.74927,5.36976,2.62244,0.37463
NREM,0.01567,0.99902,5.12,2.74732,0.37463
NREM,0.02082,0.62439,4.74537,2.49756,0.37463
NREM,0.01961,0.74927,5.12,2.62244,0.37463
NREM,0.01171,0.74927,5.12,2.8722,0.74927
NREM,0.02718,0.62439,4.74537,2.2478,0.49951
NREM,0.0106,0.99902,5.12,2.99707,0.49951
NREM,0.0103,1.24878,4.87024,2.8722,0.99902
NREM,0.013,1.1239,4.99512,2.99707,0.74927
NREM,0.00841,1.49854,5.12,3.24683,0.49951
NREM,0.00966,1.24878,5.36976,3.24683,1.1239
NREM,0.01194,1.1239,4.99512,3.12195,0.62439
NREM,0.01109,1.24878,5.36976,3.49659,0.74927
NREM,0.01099,1.1239,5.12,2.62244,0.87415
NREM,0.00729,1.1239,5.49463,3.24683,1.1239
NREM,0.01012,1.37366,5.74439,3.49659,0.74927
NREM,0.01189,0.99902,5.12,2.62244,0.99902
NREM,0.00907,1.37366,4.99512,2.99707,0.37463
NREM,0.00775,1.24878,5.12,3.12195,0.99902
NREM,0.0085,1.1239,5.36976,3.24683,0.62439
NREM,0.00585,1.37366,5.24488,3.12195,1.62341
NREM,0.00733,1.1239,5.12,2.37268,0.74927
NREM,0.00739,1.24878,4.99512,2.99707,0.49951
NREM,0.02466,0.62439,4.62049,1.99805,0.62439
NREM,0.02123,0.87415,4.62049,2.8722,0.62439
NREM,0.01589,0.62439,5.12,2.49756,0.74927
NREM,0.01429,0.87415,4.99512,2.99707,0.74927
NREM,0.01073,0.87415,5.24488,2.8722,0.74927
NREM,0.01349,0.99902,5.12,2.8722,0.62439
NREM,0.0213,0.74927,4.49561,2.49756,0.37463
NREM,0.02363,0.74927,4.62049,2.2478,0.74927
NREM,0.02487,0.74927,4.74537,2.2478,0.37463
NREM,0.03888,0.74927,4.24585,1.99805,0.37463
NREM,0.01199,0.87415,5.12,2.62244,0.37463
NREM,0.01169,1.24878,4.99512,3.37171,0.62439
NREM,0.01459,0.99902,5.12,2.8722,0.87415
NREM,0.01103,1.24878,4.62049,2.8722,0.87415
NREM,0.00791,1.24878,5.24488,2.99707,1.24878
NREM,0.00848,1.24878,5.24488,3.24683,0.37463
NREM,0.01192,1.24878,4.99512,2.8722,0.74927
NREM,0.11658,0.74927,3.49659,1.62341,0.37463
NREM,0.01814,0.49951,4.24585,1.37366,0.37463
NREM,0.01351,0.87415,4.37073,2.2478,0.49951
NREM,0.00631,0.99902,5.36976,2.49756,0.37463
NREM,0.00661,1.1239,5.12,3.12195,0.87415
NREM,0.00829,1.1239,4.99512,3.37171,1.1239
NREM,0.00994,1.1239,4.74537,2.74732,0.62439
NREM,0.00758,0.74927,5.24488,2.74732,0.62439
NREM,0.00793,1.24878,5.36976,3.24683,0.37463
NREM,0.00583,0.99902,5.49463,3.49659,0.74927
NREM,0.0087,0.49951,5.12,1.99805,0.37463
NREM,0.0094,0.74927,4.87024,2.49756,0.37463
NREM,0.01347,0.99902,4.87024,2.49756,0.74927
NREM,0.00449,0.87415,5.36976,2.99707,0.37463
NREM,0.00494,0.87415,5.12,3.12195,0.37463
NREM,0.01475,1.24878,4.99512,2.8722,0.37463
NREM,0.01438,1.24878,4.12098,2.37268,0.37463
NREM,0.01215,0.62439,5.12,2.49756,0.37463
NREM,0.01197,0.62439,5.12,3.12195,0.37463
NREM,0.01594,0.74927,4.99512,2.62244,0.37463
NREM,0.01246,0.62439,4.99512,3.12195,0.37463
NREM,0.02067,0.62439,4.99512,2.2478,0.49951
NREM,0.01278,0.37463,5.36976,2.12293,0.37463
NREM,0.01844,0.74927,4.87024,2.12293,0.37463
NREM,0.00189,1.24878,6.2439,3.37171,0.49951
NREM,0.00376,1.24878,4.99512,2.99707,0.87415
NREM,0.00681,1.37366,4.62049,2.62244,1.37366
NREM,0.0077,1.37366,4.87024,2.8722,1.24878
NREM,0.00506,1.49854,4.99512,3.37171,0.99902
NREM,0.0055,1.37366,5.24488,2.8722,0.37463
NREM,0.00694,1.49854,5.24488,3.24683,0.74927
NREM,0.00495,1.24878,5.36976,2.99707,0.37463
NREM,0.00387,1.24878,5.49463,3.37171,0.49951
NREM,0.01271,1.24878,4.74537,2.74732,0.62439
NREM,0.00522,1.87317,5.74439,3.37171,1.24878
NREM,0.00318,1.24878,5.49463,2.8722,0.37463
REM,0.00846,0.87415,5.12,2.8722,0.74927
REM,0.00314,1.37366,5.99415,3.49659,0.62439
REM,0.00288,1.74829,5.36976,3.24683,0.37463
REM,0.00286,1.62341,5.86927,3.37171,0.37463
REM,0.00258,1.1239,5.74439,3.49659,0.37463
REM,0.00255,1.37366,5.74439,3.49659,0.37463
REM,0.00258,1.37366,6.11902,3.62146,0.37463
REM,0.00171,1.62341,6.74341,4.49561,0.62439
REM,0.00232,1.87317,5.86927,3.74634,2.49756
REM,0.00288,1.37366,5.61951,3.24683,0.37463
REM,0.02071,0.37463,4.87024,0.74927,0.37463
REM,0.00194,0.49951,6.61854,2.74732,0.12488
REM,0.01745,0.24976,4.74537,0.74927,0.24976
NREM,0.01953,0.74927,3.62146,1.87317,0.37463
NREM,0.00253,0.62439,6.2439,2.99707,0.37463
NREM,0.00398,0.62439,5.24488,2.62244,0.37463
NREM,0.00502,0.49951,5.24488,2.12293,0.37463
NREM,0.00496,0.49951,5.12,2.37268,0.37463
NREM,0.00418,0.49951,5.36976,2.74732,0.37463
NREM,0.00396,0.49951,5.36976,2.8722,0.37463
NREM,0.00458,0.49951,5.36976,2.74732,0.37463
NREM,0.00766,0.37463,4.87024,2.37268,0.37463
NREM,0.00642,0.62439,4.74537,2.49756,0.37463
NREM,0.00661,0.49951,5.24488,2.37268,0.24976
NREM,0.00845,0.62439,4.62049,2.49756,0.37463
NREM,0.00806,0.62439,5.36976,2.37268,0.62439
NREM,0.00728,0.74927,4.99512,2.37268,0.37463
NREM,0.01,0.99902,4.49561,2.2478,0.37463
NREM,0.00893,0.87415,4.62049,2.2478,0.74927
NREM,0.00745,0.74927,5.12,2.12293,0.37463
NREM,0.00472,0.49951,5.12,2.74732,0.37463
NREM,0.00754,0.62439,5.12,2.8722,0.37463
NREM,0.01192,0.74927,4.49561,1.99805,0.62439
NREM,0.00708,0.62439,4.99512,2.99707,0.62439
NREM,0.01243,0.62439,4.49561,2.2478,0.37463
NREM,0.00449,0.37463,5.61951,3.12195,0.37463
NREM,0.00859,0.87415,5.12,2.62244,0.37463
NREM,0.00589,0.87415,5.36976,3.12195,0.62439
NREM,0.00681,0.74927,4.99512,2.99707,0.37463
NREM,0.00705,0.74927,5.24488,3.12195,0.37463
NREM,0.00815,0.62439,4.99512,2.8722,0.62439
NREM,0.0201,0.62439,4.99512,2.37268,0.24976
NREM,0.01087,0.87415,4.74537,2.37268,0.37463
NREM,0.01058,0.87415,4.87024,2.62244,0.62439
NREM,0.01132,0.74927,5.12,2.49756,0.87415
NREM,0.02844,0.37463,4.12098,1.62341,0.37463
NREM,0.01599,0.99902,4.62049,1.99805,1.1239
NREM,0.01663,0.74927,4.49561,2.12293,0.37463
NREM,0.01551,0.62439,4.87024,2.49756,0.24976
NREM,0.02754,0.62439,4.49561,1.87317,0.37463
NREM,0.01357,0.87415,4.87024,2.62244,0.37463
NREM,0.00925,0.87415,5.12,2.62244,0.24976
NREM,0.00899,0.87415,5.12,2.74732,0.37463
NREM,0.01131,1.1239,4.74537,2.8722,0.37463
NREM,0.01023,0.99902,5.12,2.74732,0.37463
NREM,0.01014,0.87415,5.24488,2.37268,0.37463
NREM,0.01175,1.1239,4.74537,2.8722,0.37463
NREM,0.01497,0.74927,4.62049,2.74732,0.37463
NREM,0.01349,0.99902,5.24488,2.62244,0.74927
NREM,0.0128,0.74927,4.87024,2.2478,0.62439
NREM,0.00928,0.74927,5.24488,2.8722,0.37463
NREM,0.01155,0.74927,5.24488,2.37268,0.37463
NREM,0.02078,0.99902,4.87024,2.49756,0.37463
NREM,0.00865,0.99902,4.99512,3.12195,0.37463
NREM,0.01138,0.87415,4.49561,2.74732,0.37463
NREM,0.00904,0.74927,5.36976,2.62244,0.37463
NREM,0.01589,0.87415,4.74537,2.62244,0.87415
NREM,0.01174,0.74927,5.61951,2.74732,0.37463
NREM,0.02427,0.62439,4.37073,1.62341,0.37463
NREM,0.01135,0.74927,4.99512,2.62244,0.37463
NREM,0.02024,1.1239,4.99512,2.8722,0.37463
NREM,0.00965,0.74927,4.87024,2.8722,0.37463
NREM,0.01738,0.87415,4.87024,2.2478,0.37463
NREM,0.00762,0.74927,5.36976,2.74732,0.37463
NREM,0.0223,0.99902,4.62049,2.62244,0.87415
NREM,0.01023,0.74927,4.87024,2.49756,0.37463
NREM,0.00898,0.49951,5.12,2.74732,0.37463
NREM,0.01578,0.74927,5.24488,2.37268,0.37463
NREM,0.01038,0.37463,4.87024,2.49756,0.24976
NREM,0.01779,0.62439,4.99512,2.49756,0.37463
NREM,0.01706,0.49951,4.74537,2.62244,0.37463
NREM,0.01682,0.62439,4.99512,1.87317,0.37463
NREM,0.02246,0.62439,4.62049,2.37268,0.37463
NREM,0.01648,0.37463,5.12,1.99805,0.37463
NREM,0.01676,0.49951,4.87024,1.99805,0.37463
NREM,0.02429,0.62439,4.74537,1.99805,0.37463
NREM,0.06715,0.37463,4.12098,1.37366,0.37463
NREM,0.06324,0.37463,3.9961,0.99902,0.37463
NREM,0.09418,0.62439,3.87122,1.37366,0.37463
NREM,0.0239,0.62439,4.49561,1.62341,0.37463
NREM,0.03028,0.49951,4.49561,1.62341,0.37463
NREM,0.021,0.87415,4.62049,2.12293,0.37463
NREM,0.0137,0.49951,4.99512,2.12293,0.37463
NREM,0.01941,0.74927,4.99512,2.62244,0.37463
NREM,0.0158,0.49951,4.87024,2.2478,0.37463
NREM,0.02248,0.62439,4.49561,2.37268,0.37463
NREM,0.01972,0.49951,4.74537,1.99805,0.37463
NREM,0.01789,0.49951,4.87024,1.99805,0.37463
NREM,0.01603,0.49951,5.12,2.37268,0.37463
NREM,0.03463,0.49951,4.37073,1.24878,0.37463
NREM,0.03519,0.37463,4.62049,1.99805,0.37463
NREM,0.03264,0.37463,4.37073,1.49854,0.37463
NREM,0.04521,0.37463,4.37073,1.49854,0.37463
NREM,0.04323,0.37463,4.24585,1.49854,0.37463
NREM,0.05829,0.49951,4.12098,1.74829,0.37463
NREM,0.04074,0.37463,4.37073,1.49854,0.37463
NREM,0.04376,0.37463,4.37073,1.62341,0.37463
NREM,0.0351,0.37463,4.49561,1.49854,0.37463
NREM,0.03732,0.49951,4.74537,2.12293,0.37463
NREM,0.03936,0.37463,4.12098,1.24878,0.37463
NREM,0.03821,0.37463,4.24585,1.74829,0.37463
NREM,0.03247,0.37463,4.24585,1.49854,0.37463
NREM,0.03153,0.37463,4.62049,1.99805,0.37463
NREM,0.02139,0.37463,4.62049,1.62341,0.37463
NREM,0.02951,0.37463,4.49561,1.74829,0.37463
NREM,0.03605,0.37463,4.49561,1.87317,0.37463
NREM,0.03159,0.37463,4.37073,1.62341,0.37463
NREM,0.03245,0.37463,4.62049,1.87317,0.37463
NREM,0.04064,0.49951,4.37073,1.62341,0.37463
NREM,0.03736,0.37463,4.12098,1.49854,0.37463
NREM,0.03499,0.49951,4.24585,1.74829,0.37463
NREM,0.04131,0.49951,4.24585,1.87317,0.37463
NREM,0.04477,0.62439,4.37073,1.87317,0.37463
NREM,0.02672,0.37463,4.62049,1.74829,0.37463
NREM,0.03092,0.37463,4.62049,1.74829,0.37463
NREM,0.03348,0.49951,4.37073,1.87317,0.37463
NREM,0.03527,0.49951,4.24585,1.74829,0.37463
NREM,0.02874,0.37463,4.49561,1.87317,0.37463
NREM,0.03487,0.37463,4.49561,1.74829,0.37463
NREM,0.03173,0.49951,4.49561,1.74829,0.37463
NREM,0.03727,0.49951,4.12098,1.49854,0.37463
NREM,0.02929,0.49951,4.12098,1.62341,0.37463
NREM,0.03042,0.37463,4.74537,1.62341,0.37463
NREM,0.02698,0.37463,4.49561,1.62341,0.37463
NREM,0.03143,0.37463,4.49561,1.99805,0.37463
NREM,0.02568,0.37463,4.37073,1.74829,0.37463
NREM,0.02548,0.49951,4.62049,2.12293,0.37463
NREM,0.02719,0.37463,4.62049,1.87317,0.37463
NREM,0.02968,0.37463,4.37073,1.74829,0.37463
NREM,0.03355,0.37463,4.62049,1.62341,0.37463
NREM,0.06407,0.62439,3.9961,1.37366,0.49951
NREM,0.10196,0.37463,3.12195,0.87415,0.37463
NREM,0.07177,0.49951,3.37171,1.1239,0.37463
NREM,0.03855,0.49951,3.49659,1.1239,0.37463
NREM,0.01494,0.99902,4.62049,2.49756,0.37463
NREM,0.00403,1.24878,5.61951,2.62244,0.37463
NREM,0.0068,1.24878,4.74537,2.74732,1.1239
NREM,0.02094,0.87415,4.49561,1.99805,0.87415
NREM,0.05051,0.62439,3.49659,1.1239,0.74927
NREM,0.03086,0.87415,3.62146,1.74829,0.37463
NREM,0.02357,0.74927,4.37073,1.62341,0.62439
NREM,0.02254,0.87415,3.74634,1.87317,0.37463
NREM,0.01457,0.87415,4.99512,2.49756,0.49951
NREM,0.00683,1.24878,5.36976,2.74732,0.87415
NREM,0.0077,1.1239,5.36976,3.12195,0.99902
NREM,0.00727,1.1239,5.12,2.49756,0.74927
NREM,0.00431,0.99902,5.74439,3.12195,0.87415
NREM,0.00322,1.1239,6.36878,3.49659,0.74927
REM,0.00354,1.49854,5.49463,3.24683,1.37366
REM,0.0382,0.24976,4.74537,0.62439,0.24976
REM,0.00239,1.24878,5.74439,3.12195,0.87415
REM,0.01531,0.24976,5.12,0.99902,0.24976
REM,0.00333,0.87415,5.99415,2.8722,0.24976
REM,0.00327,1.37366,5.36976,2.99707,0.49951
REM,0.00821,0.24976,6.11902,1.74829,0.24976
REM,0.00223,1.1239,6.2439,3.12195,0.49951
REM,0.00267,0.74927,6.11902,2.74732,0.49951
REM,0.00233,1.24878,6.2439,3.24683,0.49951
NREM,0.044,0.49951,3.49659,1.37366,0.62439
REM,0.00686,0.49951,4.87024,1.37366,0.49951
REM,0.00316,0.62439,5.74439,3.24683,0.37463
REM,0.00391,1.1239,5.86927,2.99707,0.37463
REM,0.00437,0.49951,5.61951,2.74732,0.37463
REM,0.00283,0.74927,5.99415,2.99707,0.62439
REM,0.00267,0.62439,5.86927,2.99707,0.37463
REM,0.00412,0.62439,5.36976,2.37268,0.37463
REM,0.00438,0.37463,5.49463,2.49756,0.37463
REM,0.00254,0.99902,5.74439,3.12195,0.49951
REM,0.00277,0.49951,5.61951,2.8722,0.37463
REM,0.00423,0.62439,5.99415,2.37268,0.49951
REM,0.00433,0.87415,5.49463,3.24683,0.37463
REM,0.00442,0.87415,5.24488,2.99707,0.62439
REM,0.00138,1.1239,6.36878,3.37171,0.62439
REM,0.00274,0.87415,5.74439,2.74732,0.62439
REM,0.01232,0.24976,4.87024,0.87415,0.24976
REM,0.02074,0.24976,4.37073,0.74927,0.24976
REM,0.00928,0.24976,5.24488,1.24878,0.24976
REM,0.00195,0.87415,5.86927,2.8722,0.62439
REM,0.00226,0.87415,5.49463,2.99707,0.49951
REM,0.00168,1.1239,5.36976,3.24683,0.62439
REM,0.00351,0.62439,5.24488,2.2478,0.49951
REM,0.01641,0.24976,4.99512,0.62439,0.24976
REM,0.00199,0.87415,6.2439,3.12195,0.37463
REM,0.00376,0.37463,5.61951,2.49756,0.37463
REM,0.00221,0.87415,5.86927,2.99707,0.37463
REM,0.00465,0.62439,4.74537,1.99805,0.37463
REM,0.00242,0.87415,5.74439,2.8722,0.62439
REM,0.00363,0.87415,5.74439,2.74732,0.62439
REM,0.00366,0.74927,5.12,2.37268,0.49951
REM,0.00213,1.37366,6.2439,3.49659,0.37463
REM,0.00182,1.1239,5.36976,3.37171,0.87415
REM,0.00844,0.62439,5.49463,1.49854,0.62439
REM,0.00491,0.74927,5.24488,2.62244,0.49951
REM,0.00229,0.87415,5.36976,3.12195,0.49951
REM,0.04008,0.74927,3.24683,1.49854,0.74927
NREM,0.00084,1.62341,7.61756,3.9961,1.62341
NREM,0.00197,1.37366,6.11902,3.62146,0.37463
NREM,0.00107,1.37366,6.2439,3.74634,1.1239
NREM,0.00188,1.37366,5.74439,3.24683,0.49951
NREM,0.00128,1.1239,7.11805,3.24683,0.62439
NREM,0.00194,1.87317,5.74439,3.49659,0.74927
