Sleep_Stage,MeanP_Alpha_C4,MedianF_Alpha_C4,MeanF_Alpha_C4,Spectral Edge_Alpha_C4,PeakF_Alpha_C4
REM,0.00027,9.61561,16.4839,15.60976,7.9922
REM,0.00031,9.61561,16.73366,15.85951,7.24293
REM,0.00029,9.86537,16.98341,16.10927,6.86829
REM,0.00026,10.11512,16.73366,15.98439,7.24293
REM,0.00035,10.11512,16.35902,15.60976,7.24293
REM,0.00026,9.86537,17.23317,16.4839,8.11707
REM,0.00039,9.74049,15.73463,15.11024,10.11512
REM,0.00027,9.49073,16.98341,16.23415,8.11707
REM,0.00042,9.61561,16.23415,15.60976,9.61561
REM,0.00027,9.49073,16.60878,15.60976,6.86829
REM,0.00028,9.74049,17.23317,16.23415,8.11707
REM,0.00025,9.36585,16.85854,16.35902,7.24293
NREM,0.00059,9.36585,16.35902,15.73463,9.24098
REM,0.00032,9.24098,16.10927,15.11024,8.86634
REM,0.00035,9.24098,15.60976,14.86049,9.1161
REM,0.0003,9.99024,16.73366,15.85951,11.73854
REM,0.00033,9.36585,15.98439,15.11024,7.86732
NREM,0.00033,10.11512,17.85756,17.23317,9.61561
REM,0.00028,9.49073,16.73366,15.85951,8.49171
REM,0.00029,10.36488,16.85854,16.35902,10.61463
REM,0.00032,8.86634,15.98439,15.11024,7.9922
NREM,0.00052,9.36585,16.4839,15.73463,9.49073
REM,0.00029,9.74049,16.73366,15.98439,11.61366
REM,0.00036,8.74146,16.35902,15.11024,8.24195
REM,0.00032,8.74146,16.23415,15.60976,8.61659
REM,0.00028,9.74049,16.60878,15.85951,8.49171
REM,0.00027,9.61561,16.60878,15.73463,7.24293
REM,0.00027,9.74049,16.73366,15.85951,7.3678
REM,0.0003,9.74049,16.85854,16.23415,8.49171
REM,0.00034,9.74049,16.10927,15.23512,9.61561
REM,0.00026,9.49073,16.85854,15.98439,9.49073
REM,0.00028,9.74049,16.4839,15.98439,8.11707
REM,0.00026,9.24098,17.23317,16.23415,6.99317
NREM,0.00035,9.49073,16.35902,15.85951,9.49073
NREM,0.00056,9.49073,15.98439,15.48488,9.36585
NREM,0.00051,9.74049,14.73561,13.73659,9.49073
NREM,0.00049,9.49073,14.86049,14.2361,8.11707
NREM,0.00054,9.36585,15.11024,14.2361,8.11707
NREM,0.00057,9.49073,15.23512,14.73561,8.11707
NREM,0.00047,9.61561,15.60976,15.11024,6.99317
NREM,0.00041,9.1161,15.60976,14.86049,7.9922
NREM,0.00047,9.1161,15.36,14.86049,7.9922
NREM,0.00054,9.49073,15.23512,14.98537,8.99122
NREM,0.00079,9.61561,14.48585,13.73659,9.74049
NREM,0.00055,9.86537,14.98537,14.48585,13.36195
NREM,0.00091,9.36585,14.61073,13.98634,9.61561
NREM,0.0005,9.74049,15.23512,14.61073,7.61756
NREM,0.00068,9.1161,14.61073,13.86146,7.9922
NREM,0.00072,9.24098,14.86049,14.36098,9.1161
NREM,0.00071,9.24098,14.48585,13.73659,8.24195
NREM,0.00049,9.24098,15.11024,14.11122,9.24098
NREM,0.0007,9.61561,15.11024,14.73561,9.74049
NREM,0.00078,9.1161,14.48585,13.61171,8.74146
NREM,0.00069,8.99122,13.98634,13.23707,9.74049
NREM,0.00062,9.49073,14.73561,14.36098,9.36585
NREM,0.00079,9.36585,14.48585,14.2361,8.99122
NREM,0.00071,9.36585,14.11122,13.48683,7.3678
NREM,0.00088,8.74146,13.98634,13.36195,9.61561
NREM,0.00072,9.74049,14.48585,14.11122,9.1161
NREM,0.00104,8.74146,13.98634,13.36195,7.3678
NREM,0.00069,8.99122,14.73561,14.11122,7.86732
NREM,0.0006,9.74049,14.73561,14.48585,10.36488
NREM,0.00067,8.99122,14.36098,13.61171,11.61366
NREM,0.00102,9.1161,14.2361,13.36195,10.24
NREM,0.0005,8.99122,15.11024,14.36098,8.11707
NREM,0.00067,8.99122,14.73561,14.2361,8.36683
NREM,0.00061,8.99122,14.86049,14.11122,9.74049
NREM,0.00061,9.1161,15.11024,14.2361,9.36585
NREM,0.00066,8.61659,14.73561,13.86146,8.11707
NREM,0.00078,8.61659,14.61073,14.11122,7.9922
NREM,0.00064,8.61659,14.61073,13.86146,7.49268
NREM,0.00064,8.36683,14.73561,13.86146,7.74244
NREM,0.00062,8.36683,14.73561,13.98634,7.49268
NREM,0.00081,8.49171,13.86146,12.98732,6.99317
NREM,0.00159,9.36585,17.10829,16.35902,9.49073
NREM,0.00108,9.86537,18.10732,17.48293,8.61659
NREM,0.00094,9.61561,17.48293,16.60878,9.36585
NREM,0.00115,9.49073,16.73366,15.98439,9.1161
NREM,0.00094,9.74049,16.85854,16.10927,7.86732
NREM,0.00108,9.36585,15.11024,13.98634,8.11707
NREM,0.00144,9.86537,16.60878,15.73463,8.36683
NREM,0.00094,9.99024,17.23317,16.23415,8.74146
NREM,0.00118,9.1161,17.73268,15.85951,7.11805
NREM,0.0008,9.36585,16.73366,15.60976,8.11707
NREM,0.00109,9.36585,16.73366,16.23415,9.49073
NREM,0.00104,8.99122,16.85854,16.10927,7.86732
NREM,0.00091,9.1161,17.6078,16.23415,7.49268
NREM,0.00148,8.74146,15.73463,14.48585,7.61756
NREM,0.0006,9.74049,15.48488,15.11024,10.24
NREM,0.00077,8.86634,14.48585,13.73659,7.11805
NREM,0.00083,8.61659,14.11122,13.1122,7.24293
NREM,0.00083,8.74146,14.36098,13.48683,6.36878
NREM,0.00063,9.1161,14.48585,13.73659,7.9922
NREM,0.00071,8.49171,14.61073,13.86146,6.99317
NREM,0.00065,8.74146,14.48585,13.36195,7.49268
NREM,0.00082,9.1161,14.36098,13.36195,9.61561
NREM,0.00061,8.74146,14.73561,13.73659,8.24195
NREM,0.00064,8.49171,14.61073,13.61171,8.49171
NREM,0.00078,8.99122,14.36098,13.48683,7.11805
NREM,0.00063,9.24098,14.36098,13.73659,9.74049
NREM,0.00068,8.99122,14.36098,13.73659,7.11805
NREM,0.00072,8.74146,14.11122,13.48683,9.24098
NREM,0.00058,9.24098,14.73561,14.2361,9.49073
NREM,0.00077,8.49171,14.11122,13.61171,6.99317
NREM,0.0007,8.61659,14.73561,13.48683,7.9922
NREM,0.00073,8.36683,14.73561,13.86146,8.36683
NREM,0.00086,8.49171,14.11122,13.61171,6.99317
NREM,0.00087,8.36683,13.98634,13.1122,7.61756
NREM,0.00133,9.24098,16.23415,15.36,9.1161
NREM,0.00109,8.86634,14.61073,13.61171,8.24195
NREM,0.00065,8.99122,15.73463,14.73561,9.36585
NREM,0.00071,8.99122,13.86146,13.1122,8.99122
NREM,0.00068,9.1161,14.36098,13.86146,9.36585
NREM,0.00066,8.74146,14.2361,13.61171,7.49268
NREM,0.00059,8.24195,14.86049,13.48683,7.9922
NREM,0.00063,8.99122,14.48585,13.73659,7.49268
NREM,0.00064,8.36683,14.36098,13.61171,6.86829
NREM,0.00072,8.86634,14.11122,13.36195,8.24195
NREM,0.00065,8.99122,14.61073,13.98634,6.61854
NREM,0.00084,8.61659,14.11122,13.48683,7.86732
NREM,0.00053,8.61659,14.73561,13.73659,8.61659
NREM,0.00067,8.74146,14.61073,13.98634,8.11707
NREM,0.00078,8.74146,13.86146,13.23707,7.74244
NREM,0.00076,8.61659,14.73561,13.98634,7.9922
NREM,0.00059,8.86634,14.73561,13.98634,7.49268
NREM,0.00064,8.86634,14.11122,13.48683,7.86732
NREM,0.00065,9.36585,14.73561,14.2361,9.1161
NREM,0.0007,8.61659,14.11122,13.48683,7.49268
NREM,0.00085,8.86634,13.86146,13.1122,7.74244
NREM,0.00055,9.49073,14.86049,14.2361,6.49366
NREM,0.00081,8.61659,13.98634,13.23707,7.9922
NREM,0.00072,8.61659,14.11122,13.1122,7.61756
NREM,0.00078,8.99122,14.2361,13.73659,8.36683
NREM,0.00065,8.49171,14.48585,13.86146,7.49268
NREM,0.0006,8.49171,14.48585,13.61171,7.9922
NREM,0.00077,9.1161,13.61171,12.86244,9.99024
NREM,0.00062,8.74146,14.36098,13.48683,7.86732
NREM,0.00058,8.61659,14.48585,13.61171,8.24195
NREM,0.0007,8.49171,14.2361,13.73659,7.3678
NREM,0.00056,8.36683,14.73561,14.11122,7.3678
NREM,0.00062,8.49171,14.11122,13.36195,9.74049
NREM,0.00054,8.99122,14.73561,14.2361,6.61854
NREM,0.00058,8.11707,13.98634,13.36195,7.11805
NREM,0.00056,8.49171,14.48585,13.86146,6.49366
NREM,0.00049,8.61659,14.48585,13.73659,7.86732
NREM,0.0006,8.49171,14.11122,13.48683,6.49366
NREM,0.00054,8.49171,14.61073,13.86146,7.74244
NREM,0.00054,8.11707,14.2361,13.61171,6.61854
NREM,0.00058,8.36683,14.61073,13.86146,7.74244
NREM,0.00046,9.1161,14.48585,13.98634,7.49268
NREM,0.00056,9.1161,14.11122,13.1122,9.1161
NREM,0.00047,7.9922,14.36098,13.48683,7.49268
NREM,0.00056,8.36683,14.36098,13.48683,8.74146
NREM,0.00058,7.9922,14.48585,13.73659,7.9922
NREM,0.00057,9.36585,13.86146,13.1122,11.86341
NREM,0.0005,8.49171,14.86049,14.11122,7.24293
NREM,0.00049,9.24098,14.61073,13.73659,7.49268
NREM,0.00049,8.61659,14.61073,14.2361,7.49268
NREM,0.00053,8.74146,14.11122,13.36195,6.74341
NREM,0.00056,8.11707,14.11122,13.48683,6.61854
NREM,0.0006,8.36683,13.98634,12.98732,6.61854
NREM,0.00056,7.86732,14.36098,13.23707,6.61854
NREM,0.00052,8.36683,14.48585,13.73659,6.86829
NREM,0.00055,8.99122,14.98537,13.98634,9.24098
NREM,0.00057,8.61659,14.61073,13.36195,6.49366
NREM,0.00061,9.36585,14.98537,14.36098,7.9922
REM,0.00045,9.36585,15.48488,14.61073,7.86732
REM,0.0004,9.24098,15.23512,14.36098,7.11805
REM,0.00041,9.24098,15.36,14.73561,7.3678
REM,0.00045,9.36585,15.11024,14.86049,8.11707
REM,0.00038,9.1161,14.86049,14.11122,6.86829
REM,0.00035,9.24098,15.85951,15.23512,7.11805
REM,0.00031,9.36585,15.60976,14.98537,7.11805
REM,0.00031,9.61561,16.10927,15.23512,6.86829
REM,0.00037,9.86537,15.48488,14.86049,7.24293
REM,0.00038,9.86537,15.23512,14.73561,8.11707
REM,0.0003,9.74049,15.98439,15.36,6.61854
REM,0.00029,9.61561,16.23415,15.48488,7.11805
REM,0.00031,9.36585,16.4839,15.23512,8.24195
REM,0.00031,9.61561,16.10927,15.23512,10.24
REM,0.00035,8.74146,15.73463,14.73561,7.11805
REM,0.0003,9.36585,16.23415,15.60976,7.11805
REM,0.00028,9.24098,16.23415,15.36,6.86829
REM,0.00027,9.24098,16.23415,15.36,10.48976
REM,0.00029,9.49073,16.23415,15.36,6.99317
NREM,0.00045,9.1161,15.11024,14.2361,9.49073
NREM,0.00065,8.86634,14.86049,14.11122,6.61854
REM,0.00042,9.61561,15.23512,14.36098,8.36683
REM,0.00037,9.36585,15.60976,14.86049,9.61561
REM,0.00046,8.74146,15.36,14.48585,6.86829
REM,0.00047,9.1161,14.98537,14.61073,7.86732
REM,0.00055,9.36585,14.48585,13.98634,7.11805
NREM,0.00069,8.61659,14.98537,13.98634,7.74244
NREM,0.00053,9.99024,14.73561,14.36098,6.99317
NREM,0.00068,9.99024,14.73561,14.36098,7.86732
NREM,0.00053,8.99122,14.98537,14.11122,8.11707
NREM,0.00062,8.61659,14.73561,13.98634,6.74341
NREM,0.00058,8.61659,14.61073,13.73659,6.74341
REM,0.00051,9.49073,14.98537,14.2361,10.36488
REM,0.00039,8.86634,15.60976,14.61073,7.9922
NREM,0.00057,9.1161,14.86049,14.2361,8.36683
NREM,0.00066,8.99122,14.73561,14.11122,9.49073
NREM,0.00054,9.74049,16.10927,15.60976,9.74049
NREM,0.00053,9.36585,15.11024,14.2361,9.36585
NREM,0.00061,9.36585,14.98537,14.73561,7.9922
NREM,0.00094,8.36683,13.86146,13.1122,7.3678
NREM,0.00049,9.36585,15.48488,14.73561,8.86634
NREM,0.00105,8.24195,14.48585,13.1122,7.24293
NREM,0.0007,8.61659,14.36098,13.73659,7.9922
NREM,0.00071,8.99122,14.73561,13.98634,7.86732
NREM,0.00088,8.74146,14.11122,13.23707,7.86732
NREM,0.00056,8.99122,14.73561,14.11122,8.11707
NREM,0.00053,9.1161,14.86049,14.36098,8.99122
NREM,0.00073,8.74146,14.2361,13.36195,8.86634
NREM,0.00063,9.1161,14.61073,13.73659,8.74146
NREM,0.00064,9.1161,14.48585,13.73659,8.74146
NREM,0.00058,9.24098,14.86049,14.36098,7.61756
NREM,0.00057,9.24098,14.86049,14.36098,7.86732
NREM,0.00065,8.99122,14.98537,14.2361,6.61854
NREM,0.00059,8.74146,14.86049,13.86146,7.86732
NREM,0.00069,8.99122,14.73561,14.36098,7.11805
NREM,0.00087,8.74146,14.2361,13.61171,8.61659
NREM,0.00063,9.1161,14.48585,13.73659,8.74146
NREM,0.00058,9.24098,14.86049,14.11122,8.61659
NREM,0.00071,8.36683,14.36098,13.61171,6.61854
NREM,0.00069,8.86634,14.36098,13.86146,6.61854
NREM,0.00057,8.99122,14.61073,13.98634,6.74341
NREM,0.00065,8.99122,14.86049,14.2361,7.9922
NREM,0.00068,8.61659,14.2361,13.48683,7.11805
NREM,0.00065,8.74146,14.61073,13.73659,7.86732
NREM,0.00068,8.61659,13.98634,13.48683,7.61756
NREM,0.00063,9.24098,14.2361,13.86146,10.86439
NREM,0.00064,8.49171,14.36098,13.86146,6.36878
NREM,0.00076,8.74146,14.11122,13.23707,7.61756
NREM,0.00066,8.24195,14.48585,13.86146,6.49366
NREM,0.0007,8.36683,14.36098,13.23707,7.61756
NREM,0.00063,8.99122,14.48585,13.86146,10.73951
NREM,0.00065,8.36683,14.36098,13.86146,7.49268
NREM,0.00063,8.86634,14.36098,13.86146,7.49268
NREM,0.00062,8.99122,14.36098,13.86146,6.61854
NREM,0.00065,8.61659,14.36098,13.73659,7.11805
NREM,0.00058,9.24098,14.48585,13.98634,10.73951
NREM,0.00064,8.61659,14.11122,13.86146,7.49268
NREM,0.00063,8.86634,14.2361,13.86146,7.49268
NREM,0.00058,8.24195,14.61073,13.73659,6.74341
NREM,0.00056,8.86634,14.61073,13.98634,7.49268
NREM,0.00063,9.49073,13.98634,13.23707,10.36488
NREM,0.00048,8.99122,14.86049,14.11122,6.49366
NREM,0.00048,8.86634,14.73561,13.86146,7.3678
NREM,0.00055,8.36683,14.48585,13.61171,7.61756
NREM,0.00056,7.9922,14.36098,13.48683,7.86732
NREM,0.00052,8.61659,14.2361,13.61171,8.49171
NREM,0.00057,8.36683,14.2361,13.48683,7.49268
NREM,0.00053,8.61659,14.48585,13.86146,7.61756
NREM,0.00049,8.86634,14.98537,14.2361,6.36878
NREM,0.0005,9.1161,14.36098,13.48683,7.74244
NREM,0.00052,8.74146,14.48585,13.73659,6.49366
NREM,0.0005,8.49171,14.61073,13.36195,7.61756
NREM,0.00053,8.61659,14.2361,13.48683,6.61854
NREM,0.00052,8.61659,14.36098,13.73659,7.61756
NREM,0.00067,8.24195,14.2361,13.36195,8.11707
NREM,0.00051,8.49171,14.98537,14.11122,7.24293
NREM,0.00059,7.9922,14.86049,13.86146,7.49268
NREM,0.00062,8.24195,14.11122,13.23707,6.61854
NREM,0.0006,8.99122,14.2361,13.73659,11.86341
NREM,0.00059,8.24195,14.36098,13.48683,6.61854
NREM,0.00046,8.49171,14.48585,13.73659,6.49366
NREM,0.00049,8.74146,14.73561,13.98634,7.74244
NREM,0.00052,8.49171,14.61073,13.86146,6.49366
NREM,0.00051,9.36585,14.86049,14.11122,11.73854
NREM,0.00048,8.86634,14.73561,14.2361,6.36878
NREM,0.00052,7.61756,14.48585,13.48683,6.86829
NREM,0.00051,8.36683,14.73561,13.86146,6.36878
NREM,0.00055,8.49171,14.48585,13.61171,6.49366
NREM,0.00057,7.9922,14.2361,13.36195,6.49366
NREM,0.00051,8.36683,14.36098,13.61171,6.49366
NREM,0.00051,8.24195,14.48585,13.86146,7.61756
NREM,0.00048,8.49171,14.86049,14.11122,7.49268
NREM,0.00048,8.24195,14.61073,13.73659,6.61854
NREM,0.00041,8.36683,15.11024,13.98634,6.74341
NREM,0.00053,7.74244,14.36098,13.73659,6.61854
NREM,0.00052,8.24195,14.61073,13.86146,6.99317
NREM,0.00059,8.49171,14.36098,13.48683,9.74049
NREM,0.00053,7.86732,14.48585,13.61171,7.3678
NREM,0.00048,8.24195,14.61073,13.98634,6.11902
NREM,0.00055,8.24195,14.36098,13.73659,6.36878
NREM,0.00044,8.49171,14.61073,13.61171,6.49366
NREM,0.0005,8.11707,14.48585,13.61171,6.61854
NREM,0.0005,8.74146,14.48585,13.86146,7.24293
NREM,0.00056,8.36683,14.2361,13.23707,7.61756
NREM,0.00054,8.24195,14.48585,13.73659,7.49268
NREM,0.0005,7.86732,14.98537,13.61171,6.2439
NREM,0.00057,7.86732,14.48585,13.48683,7.74244
NREM,0.00056,8.36683,14.61073,13.73659,6.49366
NREM,0.00047,8.36683,14.98537,14.2361,7.61756
NREM,0.00056,8.11707,14.61073,13.48683,7.61756
NREM,0.00052,8.24195,14.86049,13.86146,6.86829
NREM,0.00053,8.61659,14.73561,13.98634,6.74341
NREM,0.00048,8.61659,14.61073,13.73659,6.49366
NREM,0.00053,8.61659,14.61073,13.61171,7.9922
NREM,0.00042,8.49171,15.11024,13.86146,6.36878
NREM,0.00046,8.36683,14.73561,13.86146,6.49366
NREM,0.00049,8.99122,14.98537,14.36098,6.49366
NREM,0.00046,8.24195,14.98537,13.86146,7.61756
NREM,0.00055,8.49171,14.86049,13.86146,7.49268
NREM,0.00047,8.36683,14.98537,13.73659,6.49366
NREM,0.00049,9.49073,14.61073,13.86146,6.49366
NREM,0.00041,8.49171,15.11024,14.11122,7.49268
NREM,0.00051,8.24195,14.73561,13.86146,7.49268
NREM,0.00049,8.24195,14.73561,13.36195,7.3678
NREM,0.00087,9.24098,18.48195,17.85756,8.36683
NREM,0.00052,8.11707,14.73561,13.98634,7.24293
NREM,0.00086,8.36683,14.2361,13.48683,7.74244
NREM,0.00065,8.49171,14.73561,13.61171,7.49268
NREM,0.00075,8.86634,14.61073,14.11122,7.74244
NREM,0.00066,9.1161,14.61073,13.86146,7.9922
NREM,0.00074,8.49171,14.48585,13.1122,7.74244
NREM,0.00058,9.1161,14.48585,14.11122,7.86732
NREM,0.00069,8.61659,14.36098,13.61171,6.86829
NREM,0.00054,9.24098,14.73561,13.73659,10.73951
NREM,0.00066,8.86634,14.61073,13.73659,7.24293
NREM,0.00069,8.36683,14.86049,13.98634,7.86732
NREM,0.0007,7.9922,14.36098,13.36195,6.86829
NREM,0.00053,8.61659,15.11024,14.11122,7.3678
NREM,0.0006,9.1161,14.86049,14.2361,10.48976
NREM,0.0006,9.1161,15.36,14.61073,8.24195
NREM,0.0006,9.49073,14.61073,14.11122,7.9922
NREM,0.00047,9.49073,15.36,15.11024,5.86927
REM,0.00049,9.1161,15.36,14.73561,6.99317
REM,0.00033,9.61561,16.23415,15.60976,8.24195
REM,0.00036,9.24098,16.23415,15.23512,8.11707
REM,0.00036,9.61561,15.85951,14.98537,6.86829
REM,0.00034,8.99122,16.10927,15.23512,7.74244
REM,0.00036,9.36585,16.10927,15.36,7.49268
REM,0.00037,9.61561,16.10927,15.36,7.86732
REM,0.00035,9.49073,16.23415,15.23512,9.99024
REM,0.00043,8.99122,15.48488,14.73561,8.99122
NREM,0.0004,9.36585,15.48488,14.73561,9.24098
REM,0.00044,9.24098,15.60976,14.48585,9.61561
REM,0.00031,9.1161,16.60878,15.60976,7.3678
REM,0.00035,9.36585,16.35902,15.48488,7.61756
REM,0.00034,9.74049,16.35902,15.60976,7.49268
REM,0.0003,9.36585,16.60878,16.10927,7.11805
REM,0.00034,9.36585,16.10927,15.11024,7.24293
REM,0.00035,9.1161,16.23415,15.48488,7.49268
REM,0.00031,9.24098,16.23415,15.73463,6.86829
REM,0.00037,9.1161,16.10927,14.98537,9.24098
REM,0.00033,8.86634,16.23415,15.23512,6.99317
REM,0.00034,9.1161,16.10927,15.23512,7.3678
REM,0.00043,8.49171,15.60976,14.73561,7.61756
REM,0.00033,8.99122,16.4839,15.36,7.61756
REM,0.00032,9.36585,16.35902,15.36,7.61756
REM,0.00033,9.24098,16.60878,15.48488,7.61756
REM,0.00035,8.61659,16.4839,15.23512,7.49268
REM,0.00048,9.74049,17.23317,16.60878,7.3678
NREM,0.00054,9.36585,15.73463,14.61073,9.1161
REM,0.00029,9.24098,16.4839,15.36,7.61756
REM,0.00041,9.49073,15.85951,15.11024,9.1161
REM,0.00036,8.74146,15.98439,14.86049,6.86829
REM,0.00037,9.49073,15.98439,15.23512,9.61561
REM,0.00033,8.99122,16.10927,14.98537,7.86732
REM,0.00033,9.36585,15.85951,14.86049,6.74341
REM,0.00033,9.49073,16.35902,15.48488,6.99317
REM,0.00031,9.1161,16.60878,15.48488,6.99317
REM,0.00031,8.74146,16.35902,15.36,7.61756
REM,0.00033,8.86634,17.10829,15.85951,7.74244
NREM,0.00084,9.36585,17.85756,17.10829,9.36585
REM,0.00033,9.24098,15.98439,15.36,7.24293
REM,0.00037,9.74049,16.10927,15.48488,10.11512
REM,0.00035,8.99122,16.10927,15.23512,7.74244
REM,0.00029,9.24098,16.73366,15.85951,6.61854
REM,0.00037,9.24098,15.85951,14.98537,8.99122
REM,0.00031,8.86634,16.35902,15.48488,7.9922
NREM,0.00209,10.24,19.85561,19.60585,8.49171
REM,0.00035,8.99122,15.85951,15.11024,6.61854
REM,0.00029,8.86634,16.35902,15.23512,6.99317
REM,0.00034,8.61659,15.85951,15.11024,6.86829
REM,0.00032,9.1161,16.35902,15.48488,7.74244
REM,0.0004,9.61561,15.60976,14.48585,10.11512
NREM,0.00038,9.61561,15.85951,15.11024,9.74049
REM,0.00035,9.61561,15.73463,14.61073,9.74049
REM,0.0003,9.24098,16.23415,15.36,6.49366
REM,0.00035,8.49171,15.60976,14.61073,7.3678
REM,0.00029,9.36585,16.60878,15.60976,6.86829
REM,0.00038,8.49171,15.60976,14.48585,8.36683
REM,0.00037,9.24098,15.60976,14.73561,7.86732
REM,0.0003,9.74049,16.35902,15.36,9.99024
REM,0.00035,9.36585,15.98439,15.23512,9.74049
REM,0.00031,9.24098,16.10927,15.11024,7.61756
REM,0.0003,10.11512,16.35902,15.60976,7.49268
REM,0.00033,8.74146,16.10927,15.11024,6.99317
REM,0.00035,9.86537,16.4839,15.48488,9.99024
REM,0.00031,9.49073,16.23415,15.36,9.74049
REM,0.00035,8.74146,16.10927,14.86049,6.49366
REM,0.00032,8.86634,15.85951,14.86049,6.86829
REM,0.0003,8.49171,16.10927,15.23512,6.99317
REM,0.00034,8.24195,16.35902,15.23512,6.99317
REM,0.00029,8.99122,16.4839,15.23512,7.11805
REM,0.00031,8.74146,16.35902,15.36,6.99317
REM,0.00037,8.36683,15.98439,14.98537,7.49268
REM,0.00036,8.86634,15.98439,14.98537,6.36878
REM,0.00029,9.36585,16.60878,15.73463,10.11512
REM,0.00033,8.74146,16.60878,15.36,7.61756
REM,0.00035,9.99024,16.60878,15.60976,10.61463
REM,0.00037,9.74049,16.10927,15.48488,7.3678
REM,0.00038,9.1161,15.73463,14.61073,7.86732
REM,0.00033,9.49073,15.98439,14.98537,8.24195
REM,0.00039,9.74049,15.85951,14.98537,9.49073
REM,0.00042,9.49073,15.48488,14.36098,9.74049
REM,0.00032,8.86634,16.35902,15.36,6.74341
REM,0.00032,8.11707,15.85951,14.73561,7.86732
REM,0.00031,8.74146,16.4839,15.48488,6.99317
NREM,0.00267,10.73951,21.85366,21.85366,9.24098
NREM,0.00024,9.86537,17.10829,16.35902,7.61756
NREM,0.00033,10.11512,15.98439,15.48488,9.61561
NREM,0.0003,9.99024,16.85854,16.10927,6.36878
NREM,0.00069,9.61561,14.98537,13.86146,9.86537
NREM,0.00028,10.11512,16.60878,15.98439,9.36585
NREM,0.00039,9.24098,15.98439,15.23512,8.49171
NREM,0.00056,9.74049,15.48488,14.61073,9.49073
NREM,0.0003,9.86537,16.73366,15.98439,7.3678
NREM,0.0006,9.86537,15.48488,14.48585,9.49073
NREM,0.00045,9.99024,15.36,14.86049,9.49073
NREM,0.0006,9.36585,15.23512,14.36098,9.1161
NREM,0.00038,9.86537,15.23512,14.36098,9.74049
NREM,0.00031,10.11512,16.4839,15.85951,10.24
NREM,0.00034,9.99024,16.35902,15.48488,9.99024
NREM,0.00027,9.74049,16.35902,15.48488,9.74049
NREM,0.00028,9.49073,16.23415,15.48488,9.61561
NREM,0.00027,10.24,16.60878,15.98439,9.74049
NREM,0.00045,9.99024,15.48488,14.73561,10.24
NREM,0.00028,10.36488,16.23415,15.85951,10.73951
NREM,0.0003,10.36488,15.85951,15.23512,10.36488
NREM,0.00031,10.24,16.10927,15.36,10.36488
NREM,0.00034,9.61561,15.73463,14.86049,7.49268
NREM,0.00046,9.36585,15.48488,14.86049,6.49366
NREM,0.00036,9.49073,15.60976,14.73561,6.36878
NREM,0.00048,9.24098,15.36,14.86049,7.11805
NREM,0.00047,9.36585,15.36,14.86049,8.24195
NREM,0.00051,9.24098,14.73561,13.86146,8.49171
NREM,0.00044,9.74049,16.10927,15.36,9.49073
NREM,0.00043,9.49073,15.36,14.61073,9.61561
NREM,0.00042,10.24,15.11024,14.73561,11.48878
NREM,0.00042,10.11512,15.98439,15.36,10.36488
NREM,0.00045,10.24,15.23512,14.86049,9.36585
NREM,0.00088,9.36585,14.73561,14.36098,9.24098
NREM,0.00062,9.36585,14.73561,14.36098,8.99122
NREM,0.00043,9.61561,14.98537,14.11122,10.11512
NREM,0.00058,9.61561,15.60976,14.73561,9.49073
NREM,0.0008,9.49073,14.61073,13.98634,8.99122
NREM,0.00053,9.74049,15.23512,14.36098,8.74146
NREM,0.00038,9.99024,16.23415,15.36,10.86439
NREM,0.00068,9.1161,14.61073,13.73659,9.74049
NREM,0.00045,10.11512,15.60976,14.98537,10.11512
NREM,0.00062,9.24098,15.23512,14.61073,7.74244
NREM,0.0005,9.61561,14.86049,14.48585,7.24293
NREM,0.00051,9.74049,15.36,14.61073,8.11707
NREM,0.00056,9.86537,15.11024,14.73561,9.86537
NREM,0.00051,9.86537,15.23512,14.86049,10.24
NREM,0.00049,9.74049,15.11024,14.36098,11.3639
NREM,0.0005,9.86537,15.23512,14.98537,9.49073
NREM,0.00057,9.74049,15.11024,14.73561,9.61561
NREM,0.00045,9.61561,14.98537,14.61073,10.98927
NREM,0.00065,9.1161,14.36098,13.86146,8.24195
NREM,0.00066,9.49073,14.61073,14.11122,11.3639
NREM,0.00051,9.61561,14.2361,13.73659,9.36585
NREM,0.00094,8.86634,14.11122,13.61171,9.1161
NREM,0.00048,9.74049,14.98537,14.86049,9.74049
NREM,0.00056,9.74049,14.73561,13.98634,10.11512
NREM,0.00058,9.61561,14.98537,14.48585,9.99024
NREM,0.00061,9.1161,14.48585,13.98634,6.74341
NREM,0.00065,9.74049,14.36098,13.73659,9.86537
NREM,0.00062,10.11512,14.61073,14.2361,10.61463
NREM,0.00062,10.36488,14.73561,14.36098,11.86341
NREM,0.00061,9.49073,14.61073,14.11122,9.24098
NREM,0.00073,9.49073,14.61073,14.36098,9.24098
NREM,0.00066,8.86634,14.98537,14.36098,7.61756
NREM,0.00066,10.11512,14.61073,14.36098,10.24
NREM,0.00061,9.49073,14.2361,13.61171,7.49268
NREM,0.00063,9.1161,14.73561,13.61171,7.74244
NREM,0.00075,8.86634,14.61073,13.98634,8.11707
NREM,0.00073,9.1161,14.2361,13.73659,8.36683
NREM,0.00081,8.99122,14.48585,13.86146,8.99122
NREM,0.00056,9.36585,14.61073,14.2361,8.24195
NREM,0.00062,9.61561,14.11122,13.48683,13.36195
NREM,0.00074,9.36585,14.11122,13.73659,7.3678
